PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,99.4,1179.3,9.3,0.5,172.6
Mark Andrews,BAL,96.1,1195,8.9,0.5,172.1
Kyle Pitts,ATL,73.1,997.8,4.6,0.5,126.7
Darren Waller,LV,77.5,931,5.1,0.5,122.6
George Kittle,SF,71.2,870.8,5.4,0.5,118.6
Dalton Schultz,DAL,77.4,805.2,6.2,0.4,116.6
Dallas Goedert,PHI,63.5,794.5,5,0.5,108.6
T.J. Hockenson,DET,67.6,693.3,5.1,0.4,99.3
Hunter Henry,NE,53.8,618,6,0.1,97.9
Dawson Knox,BUF,49.1,593.6,6.2,0.1,96.1
Zach Ertz,ARI,64.7,662.9,4.8,0.4,94
Mike Gesicki,MIA,61.5,671.1,4,0.4,90.5
Noah Fant,SEA,60.7,653.6,3.8,0.4,87.6
Tyler Higbee,LAR,59.2,595.5,4.7,0.4,86.7
David Njoku,CLE,53.2,602.9,4.3,0.4,85.5
Pat Freiermuth,PIT,62.7,579.6,4.8,0.5,85.5
Cole Kmet,CHI,60.8,632.8,3.7,0.5,84.8
Irv Smith Jr.,MIN,50.4,556.7,4.5,0.1,82.5
Gerald Everett,LAC,55,567,4.5,0.9,82.3
Robert Tonyan,GB,45.8,520.5,4.5,0.1,78.9
Albert Okwuegbunam,DEN,49.4,509.4,4.7,0.8,77.4
Logan Thomas,WAS,48.6,508,4.5,0.4,77
Evan Engram,JAC,52.7,541.6,3.5,0.4,74.6
Austin Hooper,TEN,50.9,497.5,4.1,0.4,73.2
Hayden Hurst,CIN,42,441.2,4,0.5,67.1
Mo Alie-Cox,IND,34.9,422.1,3.2,0.1,61.4
Brevin Jordan,HOU,41.3,418,2.9,0.1,59.1
Adam Trautman,NO,36.1,374.4,2.8,0.4,53.7
Kyle Rudolph,TB,33.2,331.5,3.2,0.1,52.5
C.J. Uzomah,NYJ,36.9,365.1,2.6,0,52.3
Cameron Brate,TB,34.3,317.4,3.1,0.1,50.2
Andrew Beck,DEN,27.9,295.3,2.9,0,46.6
Jonnu Smith,NE,29.3,312.7,2.4,0.1,45.3
Harrison Bryant,CLE,28.8,305.2,2.4,0.4,44.3
Dan Arnold,JAC,27.9,328.6,1.9,0.5,43.6
Paul Quessenberry,HOU,37,334,2,1,43.4
Tyler Conklin,NYJ,32.5,313.8,2,0.1,43
Tommy Tremble,CAR,27.6,281.8,2.2,0.1,41
Foster Moreau,LV,23.7,266.2,2.3,0,40.2
O.J. Howard,BUF,22.8,258.5,2,0.1,37.6
Geoff Swaim,TEN,26.6,236.8,2.3,0,37.5
Daniel Bellinger,NYG,25.6,270.5,1.7,0.2,37.1
Jelani Woods,IND,21.7,229.9,2.1,0.5,34.2
