PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Cooper Kupp,LAR,123.1,1601.3,12.4,4.1,23.9,0.1,0.6,236.3
Ja'Marr Chase,CIN,91.6,1416.4,10.5,8.5,50,0.2,0.6,209.4
Justin Jefferson,MIN,103.1,1502.5,9.5,3.1,16,0,0.6,208.1
Deebo Samuel,SF,70.6,1053.1,6.1,66.3,376.7,4.7,0.7,206.5
Davante Adams,LV,107.3,1326.4,9.3,0,0,0,0.5,187.2
Stefon Diggs,BUF,102,1256.5,8.9,0.2,2,0,0.5,178.2
Mike Evans,TB,82.1,1131.6,10.1,0.2,1.4,0,0.5,173.2
CeeDee Lamb,DAL,91.2,1236.5,7.6,6,44.9,0.1,0.5,173.1
Tyreek Hill,MIA,92.8,1159.5,8.1,8.8,62.2,0.3,0.5,171.7
Tee Higgins,CIN,85.3,1194.3,7.8,0.2,0.8,0,0.5,165.6
A.J. Brown,PHI,77.5,1132.8,8.1,0.8,7.6,0,0.5,161.7
Mike Williams,LAC,74.6,1098,7.9,0,0.2,0,0.4,156.7
Michael Pittman Jr.,IND,91.5,1132.5,6.7,3.7,28.9,0,0.6,155.7
DJ Moore,CAR,86.8,1145.8,5.7,5.6,37.9,0.1,0.6,151.8
Brandin Cooks,HOU,93.1,1114.6,6.1,2.6,18.5,0.1,0.5,149.6
Keenan Allen,LAC,99.8,1089.5,6.9,0.4,1.8,0,0.5,149.6
Gabriel Davis,BUF,61.5,960.5,8.8,0,0,0,0.1,148.5
DK Metcalf,SEA,78.3,1047.9,6.8,0.4,2.2,0,0.6,145
Diontae Johnson,PIT,94.9,1047.2,6.1,4.2,31.6,0.1,1,142.7
Terry McLaurin,WAS,78.1,1065,5.8,0.4,4.6,0,0.4,140.9
Courtland Sutton,DEN,70.8,1003.9,6.8,0.2,0.6,0,0.5,140.5
Jaylen Waddle,MIA,89.5,1000.3,6.2,3.3,19.2,0.3,0.6,139.7
Amon-Ra St. Brown,DET,87.6,955.9,6,6.6,46.6,0.4,0.5,137.4
Jerry Jeudy,DEN,75.3,1024.3,5.8,1.2,5.5,0,0.6,137.1
Michael Thomas,NO,85.3,989.8,6.5,0.2,-0.8,0,0.5,136.8
Marquise Brown,ARI,79.5,1002.3,6,2,12.9,0.1,0.6,136.6
Darnell Mooney,CHI,78.4,1035.8,4.8,5,26.1,0.2,0.5,135.7
Elijah Moore,NYJ,70.1,905.8,6,6.2,50.9,0.5,0.5,133.7
Chris Godwin,TB,80.2,931,6.3,2.2,12.1,0.3,0.9,131.9
Tyler Lockett,SEA,73.3,978.9,5.6,2.1,11.9,0.1,0.5,131.9
Adam Thielen,MIN,74,839.3,7.8,0.4,1.2,0,0.5,129.9
Robert Woods,TEN,74,883.6,5.1,8.9,61.2,0.7,0.5,128
Amari Cooper,CLE,75.3,943.5,5.7,0.2,0.6,0,0.5,127.7
JuJu Smith-Schuster,KC,78.6,853.8,6.5,2.3,11.5,0.5,0.5,127.4
Allen Robinson II,LAR,75.7,918.2,6,0,0,0,0.5,127
Hunter Renfrow,LV,83.6,888.7,6.3,1.2,5,0,0.7,126.4
Rashod Bateman,BAL,73.8,934.1,5.2,0.2,2.2,0,0.5,124
DeVonta Smith,PHI,63.2,867.5,5.7,0,0,0,0.5,119.7
Allen Lazard,GB,57.6,777.7,6.7,1.4,12.3,0,0.4,118.7
Brandon Aiyuk,SF,62.2,845.4,5.5,2.9,17.5,0,0.5,118.5
Chase Claypool,PIT,63.9,853.6,4.6,8.6,52.3,0.2,0.5,118.3
Christian Kirk,JAC,72.5,886.7,4.6,0.8,5.8,0,0.5,116.1
Drake London,ATL,66,870.4,4.8,0.8,4.2,0,0.8,114.5
DeAndre Hopkins,ARI,61.4,767.7,5.6,0,0.4,0,0.7,109.1
