Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
A.J. Brown,0,0,0,53,831,7,0,0,0,0,0,0,0,0,2,PHI,wr
A.J. Green,0,0,0,18,121,1,0,0,0,0,0,0,0,0,0,ARI,wr
Aaron Jones,155,821,2,43,304,4,0,0,0,0,0,0,0,0,3,GNB,rb
Aaron Rodgers,17,63,0,0,0,0,254,392,2682,21,9,0,0,0,7,GNB,qb
Adam Prentice,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,NOR,fb
Adam Thielen,0,0,0,54,553,3,0,0,0,0,0,0,0,0,0,MIN,wr
Adam Trautman,0,0,0,14,145,1,0,0,0,0,0,0,0,0,0,NOR,te
AJ Dillon,125,531,2,20,133,0,0,0,0,0,0,0,0,0,1,GNB,rb
Albert Okwuegbunam,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,DEN,te
Alec Ingold,5,6,1,11,83,1,0,0,0,0,0,0,0,0,0,MIA,fb
Alec Pierce,0,0,0,28,424,1,0,0,0,0,0,0,0,0,1,IND,wr
Alexander Mattison,45,160,2,11,74,1,0,0,0,0,0,0,0,0,0,MIN,rb
Allen Lazard,0,0,0,40,553,5,0,0,0,0,0,0,0,0,0,GNB,wr
Allen Robinson II,0,0,0,33,339,3,0,0,0,0,0,0,0,0,0,LAR,wr
Alvin Kamara,131,524,1,49,422,2,0,0,0,0,0,0,0,0,4,NOR,rb
Amari Cooper,0,0,0,57,792,7,0,1,0,0,1,0,0,0,0,CLE,wr
Amari Rodgers,0,0,0,4,50,0,0,0,0,0,0,0,0,0,5,GNB,wr
Ameer Abdullah,3,16,0,18,143,1,0,0,0,0,0,0,0,0,0,LVR,rb
Amon-Ra St. Brown,5,81,0,65,716,4,0,0,0,0,0,0,0,0,0,DET,wr
Andre Baccellia,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,ARI,wr
Andrew Beck,1,-1,0,3,59,0,0,0,0,0,0,0,0,0,0,DEN,fb
Andy Dalton,23,53,0,0,0,0,180,271,2023,14,7,0,0,0,3,NOR,qb
Andy Isabella,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,ARI,wr
Anthony Firkser,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,ATL,te
Anthony McFarland Jr.,6,30,0,2,11,0,0,0,0,0,0,0,0,0,0,PIT,rb
Anthony Schwartz,3,51,1,3,39,0,0,0,0,0,0,0,0,0,0,CLE,wr
Antonio Gibson,130,476,3,40,306,2,0,0,0,0,0,0,0,0,0,WAS,rb
Armani Rogers,1,24,0,5,64,0,0,0,0,0,0,0,0,0,0,WAS,te
Ashton Dulin,1,3,0,12,168,0,0,0,0,0,0,0,0,0,0,IND,wr
Ashtyn Davis,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NYJ,s
Austin Ekeler,128,554,7,80,497,5,0,0,0,0,0,0,0,0,3,LAC,rb
Austin Hooper,0,0,0,24,257,2,0,0,0,0,0,0,0,0,0,TEN,te
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,DET,k
Avery Williams,14,83,1,8,35,0,0,0,0,0,0,0,0,0,1,ATL,rb
Bailey Zappe,10,0,0,1,-6,0,65,92,781,5,3,0,0,0,4,NWE,qb
Baker Mayfield,16,52,1,0,0,0,119,206,1313,6,6,0,0,0,6,CAR,qb
Ben Ellefson,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,MIN,te
Ben Skowronek,1,17,1,29,254,0,0,0,0,0,0,0,0,0,0,LAR,wr
Benny Snell Jr.,12,62,1,1,6,0,0,0,0,0,0,0,0,0,0,PIT,rb
Boston Scott,31,108,1,3,6,0,0,0,0,0,0,0,0,0,0,PHI,rb
Braden Mann,0,0,0,0,0,0,1,2,17,0,0,0,0,0,0,NYJ,p
Brandin Cooks,2,7,0,44,520,1,0,0,0,0,0,0,0,0,0,HOU,wr
Brandon Aiyuk,1,7,0,51,652,6,0,0,0,0,0,0,0,0,1,SFO,wr
Brandon Allen,3,-1,0,0,0,0,3,3,22,0,0,0,0,0,0,CIN,qb
Brandon Bolden,8,34,0,9,57,1,0,0,0,0,0,0,0,0,0,LVR,rb
Brandon Johnson,0,0,0,3,12,1,0,0,0,0,0,0,0,0,0,DEN,wr
Brandon McManus,0,0,0,0,0,0,0,0,0,0,0,26,20,11,0,DEN,k
Brandon Powell,9,8,0,14,96,0,0,0,0,0,0,0,0,0,1,LAR,wr
Braxton Berrios,9,91,2,13,73,0,1,1,2,1,0,0,0,0,1,NYJ,wr
Braylon Sanders,0,0,0,2,17,0,0,0,0,0,0,0,0,0,1,MIA,wr
Breece Hall,80,463,4,19,218,1,0,0,0,0,0,0,0,0,1,NYJ,rb
Breshad Perriman,2,-7,0,8,101,1,0,0,0,0,0,0,0,0,2,TAM,wr
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,22,19,30,0,DAL,k
Brett Rypien,3,9,0,0,0,0,24,46,225,0,1,0,0,0,1,DEN,qb
Brevin Jordan,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,HOU,te
Brian Hoyer,0,0,0,0,0,0,5,6,37,0,0,0,0,0,0,NWE,qb
Brian Robinson Jr.,126,467,2,6,27,1,0,0,0,0,0,0,0,0,0,WAS,rb
Brock Purdy,5,3,0,0,0,0,4,9,66,0,1,0,0,0,0,SFO,qb
Brock Wright,0,0,0,11,116,1,0,0,0,0,0,0,0,0,0,DET,te
Bryan Edwards,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,ATL,wr
Bryce Perkins,17,87,0,0,0,0,19,34,161,1,2,0,0,0,0,LAR,qb
Brycen Hopkins,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,LAR,te
Byron Pringle,0,0,0,5,57,1,0,0,0,0,0,0,0,0,0,CHI,wr
C.J. Beathard,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,JAX,qb
C.J. Ham,2,6,1,3,21,0,0,0,0,0,0,0,0,0,0,MIN,fb
C.J. Moore,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,DET,s
C.J. Uzomah,0,0,0,13,99,0,0,0,0,0,0,0,0,0,0,NYJ,te
Cade Otton,0,0,0,26,281,1,0,0,0,0,0,0,0,0,0,TAM,te
Cade York,0,0,0,0,0,0,0,0,0,0,0,23,17,24,0,CLE,k
Cairo Santos,0,0,0,0,0,0,0,0,0,0,0,17,16,21,0,CHI,k
Caleb Huntley,71,347,1,2,3,0,0,0,0,0,0,0,0,0,1,ATL,rb
Caleb Shudak,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,TEN,k
Cam Akers,84,274,1,2,18,0,0,0,0,0,0,0,0,0,1,LAR,rb
Cam Sims,0,0,0,6,75,0,0,0,0,0,0,0,0,0,0,WAS,wr
Cameron Brate,0,0,0,16,137,0,0,0,0,0,0,0,0,0,0,TAM,te
Cameron Dicker,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,2TM,k
Carson Wentz,19,79,0,0,0,0,144,232,1489,10,6,0,0,0,6,WAS,qb
Case Keenum,5,0,0,0,0,0,2,7,8,0,0,0,0,0,0,BUF,qb
Cedrick Wilson Jr.,1,8,0,9,96,0,0,0,0,0,0,0,0,0,0,MIA,wr
CeeDee Lamb,7,23,0,64,857,5,0,0,0,0,0,0,0,0,0,DAL,wr
Chad Henne,3,-3,0,0,0,0,0,2,0,0,0,0,0,0,1,KAN,qb
Charlie Woerner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFO,te
Chase Claypool,9,59,0,39,394,1,1,1,1,1,0,0,0,0,0,2TM,wr
Chase Daniel,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,LAC,qb
Chase Edmonds,46,135,2,11,96,1,0,0,0,0,0,0,0,0,0,2TM,rb
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,25,20,12,0,IND,k
Chigoziem Okonkwo,1,-4,0,11,207,1,0,0,0,0,0,0,0,0,0,TEN,te
Chris Boswell,0,0,0,0,0,0,0,0,0,0,0,16,12,9,0,PIT,k
Chris Conley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2TM,wr
Chris Evans,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,CIN,rb
Chris Godwin,3,5,0,60,585,2,0,0,0,0,0,0,0,0,0,TAM,wr
