PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Jonathan Taylor,IND,327.2,1631.9,15,42.8,356.9,2,2.4,296.3
Derrick Henry,TEN,366,1639.5,13,27.4,216,0.9,2,264.8
Austin Ekeler,LAC,221.1,979.5,9.5,74.2,662.2,5.3,1.5,249.8
Christian McCaffrey,CAR,237.7,1058.2,7.6,88.8,757.9,4.1,1.4,249
Joe Mixon,CIN,287.1,1193.5,9.7,46.8,340,2.5,1.6,223.6
Dalvin Cook,MIN,276.3,1242,9.8,44.9,334.7,1.5,2.5,220.5
Alvin Kamara,NO,219.1,962.9,8,60,529.6,4.1,1.2,219.1
Najee Harris,PIT,298.9,1185.1,7.7,60.7,397.3,2.1,1.6,213.9
Aaron Jones,GB,195.2,935.2,6.2,61.7,505.9,3.9,1.5,201.9
Leonard Fournette,TB,230.9,956.3,9,60.4,411.5,2.1,1.3,201
James Conner,ARI,226.5,916.7,10.2,43.4,351.8,2.3,1.6,198.6
Javonte Williams,DEN,232.5,1025.6,7.8,45.9,345.6,2.7,1.7,196.5
Nick Chubb,CLE,247,1218.6,8.3,25,203.7,1,1.6,195.1
Saquon Barkley,NYG,244.8,1026.8,6.6,57.4,424,2.2,1.5,195
D'Andre Swift,DET,216,910.1,6.5,65.4,485.6,2.6,1.8,190.6
David Montgomery,CHI,234.8,948.1,7.6,44.4,345.3,1.8,1.4,183
Ezekiel Elliott,DAL,229.9,962.5,7.9,40,273.7,1.8,2.1,177.7
J.K. Dobbins,BAL,202.7,972.9,8.6,31.7,232.1,1.1,1,176.6
Breece Hall,NYJ,212.5,976.1,6.7,38.5,307.8,1.5,1.8,174.2
Damien Harris,NE,213.3,983.4,10.2,18.5,138.6,0.5,1.4,173.3
Elijah Mitchell,SF,238.8,1026.9,7.4,25.9,197.1,1.3,1.2,172.1
Cam Akers,LAR,229.8,995.2,6.9,34.4,276.1,1.6,3.2,171.1
Josh Jacobs,LV,223.8,938.9,8.1,37,258.7,0.8,1.9,169.3
Travis Etienne Jr.,JAC,178.7,823.2,5.7,49.2,401.1,2,1.7,165.1
Miles Sanders,PHI,203.2,1038.6,5.7,30.6,216.4,1.1,1.6,162.9
AJ Dillon,GB,182.1,801.7,6.4,33.6,281,1.6,1.2,153.5
Dameon Pierce,HOU,200.4,862.9,6,32.3,255.1,1.1,1.7,151.5
Rashaad Penny,SEA,189.6,958.6,6.7,19.2,144,0.5,1.2,151.4
Clyde Edwards-Helaire,KC,184.4,797.9,5.6,36.2,268.9,2.1,1.3,150.2
Devin Singletary,BUF,182.2,842.4,6,33.5,225.2,1.3,1.3,147.8
Tony Pollard,DAL,158.4,752.6,3.8,47.3,386.1,2,1.3,146
Antonio Gibson,WAS,196.1,801.3,6.1,32,234.7,1.3,1.8,144.6
Rhamondre Stevenson,NE,174.5,740.5,6.5,31.3,241.9,1.1,1,141.7
Cordarrelle Patterson,ATL,137.3,601.6,4.5,43.4,397.1,2.8,0.9,141.6
Chase Edmonds,MIA,161.1,707.2,3.9,48,343.6,1.7,0.9,136.5
Melvin Gordon III,DEN,153.5,697.1,6.2,24,181.6,1.3,1.9,129.4
Kareem Hunt,CLE,134.3,571.5,4.7,42,322.4,1.8,0.8,126.4
James Robinson,JAC,147.7,600,5,24,178.9,0.7,1.2,110.1
Michael Carter,NYJ,136.8,561.6,3.3,32,268.8,1.1,0.8,107.4
Raheem Mostert,MIA,128.4,641.9,4.3,16.9,133.8,0.9,1.4,106.2
Brian Robinson Jr.,WAS,145.8,615,4.7,18.7,139.4,0.6,1.1,104.8
Darrell Henderson Jr.,LAR,131.8,531.6,4,23.2,177.6,1.4,0.7,102
Ken Walker III,SEA,159.4,620.5,4.4,18,133.6,0.5,1.4,101.8
James Cook,BUF,108.2,467.4,3.6,29.6,238,1.6,0.9,99.8
Jamaal Williams,DET,137.6,564.8,3.5,23.1,150.1,0.8,0.8,95.6
Kenneth Gainwell,PHI,93.7,388.9,4.1,31.3,250.2,1.3,1.1,93.9
Nyheim Hines,IND,75.5,302.3,2,45.6,361.5,1.9,1.6,86.4
Alexander Mattison,MIN,114.7,460.6,2.8,25.2,188,0.9,0.9,85.7
Mark Ingram II,NO,121.6,481.7,3.4,19.6,147.9,0.7,1,85.4
Tyler Allgeier,ATL,138.7,514.5,2.9,17.4,134.7,0.6,1.3,83.6
Rachaad White,TB,93.7,367.7,3.4,20.9,166.5,1.1,0.9,78.3
Rex Burkhead,HOU,76.2,333.8,2.5,29.6,239.1,1.2,0.5,78.2
J.D. McKissic,WAS,53.8,219.9,1.4,44.6,347.1,1.8,0.5,75.4
Khalil Herbert,CHI,115.7,428.5,2.7,16.8,125.2,0.5,0.9,72.7
Marlon Mack,HOU,130,460.3,2.8,11.9,81.1,0.3,1.1,70.7
Gus Edwards,BAL,99.5,442.7,3,7.7,66.5,0.2,0.7,68.7
Zamir White,LV,99.7,367.8,3.3,12,94.5,0.4,0.9,66.9
Isaiah Spiller,LAC,74.9,317.4,2.3,19.2,157.2,1.1,1.1,65.9
Darrel Williams,ARI,75.3,282.5,2.6,18.4,153.6,0.7,0.7,61.8
D'Onta Foreman,CAR,85.4,403.3,2.5,6.7,61.9,0.2,0.9,61
Jerick McKinnon,KC,48.2,216.4,1.5,27.8,228.3,1.4,0.5,61
Damien Williams,ATL,76.9,283.2,2.1,20.5,151.6,0.8,0.9,58.8
Boston Scott,PHI,68.5,297.6,3,8.7,65.2,0.2,0.3,55.3
Ameer Abdullah,LV,37.2,167.3,0.8,34.4,254.8,1.3,0.4,53.9
Dontrell Hilliard,TEN,47.2,237.5,1.5,25.9,183.2,0.6,1,53
Isiah Pacheco,KC,65.8,266.2,2.3,13.7,103.7,0.5,0.8,52
Matt Breida,NYG,73.9,305.2,1.5,13.2,103.5,0.7,1.5,51.2
Ronald Jones II,KC,59.9,287.1,2.6,9,60.5,0.2,0.6,50.3
Sony Michel,LAC,80.2,309,2.1,8.8,59.1,0.2,0.5,49.5
Samaje Perine,CIN,65.8,250.8,1.3,18.8,132.2,0.7,0.5,49.2
Kenyan Drake,BAL,45.3,212.7,1.5,19.1,141.6,0.7,0.4,48
Hassan Haskins,TEN,66.6,270.1,1.8,8.5,66.7,0.4,0.8,45
Chuba Hubbard,CAR,53.6,207.9,1.5,13.7,95.4,0.6,0.5,41.6
Mike Davis,BAL,47.1,223.5,1.7,10.4,71.5,0.2,0.7,39.2
Tyrion Davis-Price,SF,45.1,191.7,1.6,10.1,88.6,0.3,0.8,38.1
Eno Benjamin,ARI,48.9,196,1.5,9.2,76.3,0.2,0.3,36.6
Craig Reynolds,DET,39.4,198.5,0.9,11.4,84.7,0.5,0.4,35.7
Duke Johnson Jr.,BUF,41,187.3,1.3,10,89.7,0.3,1,35.5
Ke'Shawn Vaughn,TB,47.2,195.2,1.9,6.7,45.7,0.1,0.6,35
D'Ernest Johnson,CLE,32.9,190,1.3,8.8,70.1,0.2,0.1,35
Tyler Goodson,GB,0,170.3,1.6,7.8,63.8,0.4,0.2,34.8
Jeff Wilson Jr.,SF,44.5,163,1.4,10.2,74.9,0.6,0.5,34.6
Kyle Juszczyk,SF,11.5,36.6,0.6,24.2,199.2,1.2,0.1,34.4
Joshua Kelley,LAC,48,203.1,1.3,7.6,52.9,0.3,0.8,33.6
Anthony McFarland Jr.,PIT,35,165.8,1,7.1,52.7,0.7,0.2,32
J.J. Taylor,NE,35,163.5,2,4.4,29.6,0.1,0.1,31.8
Justin Jackson,DET,23.5,152.2,1.2,8.8,72,0.4,0.2,31.5
Dare Ogunbowale,HOU,24.6,141.6,0.9,12,96,0.4,0.2,31.1
Myles Gaskin,MIA,34.3,168.8,1,10.9,68.6,0.2,0.5,29.9
Zack Moss,BUF,37.4,159.6,1.3,6.4,47.8,0.3,0.1,29.6
Chris Evans,CIN,27.4,100.3,0.6,15.4,111.2,0.8,0.1,29
Brandon Bolden,LV,23,95,0.6,15.4,138.5,0.4,0.4,28.5
Benny Snell Jr.,PIT,39.2,168.2,1,5.2,36.4,0.1,0.2,26.6
Giovani Bernard,TB,16.1,100.3,0.6,11,82.9,0.6,0.2,25.2
Travis Homer,SEA,17.2,94.5,0.6,11.4,91.9,0.5,0.1,25.2
Deon Jackson,IND,29.8,126.2,1.1,6.1,44,0.3,0.2,24.5
Kyren Williams,LAR,18.3,119.2,1.3,5.5,43.7,0.1,0.2,24.2
Pierre Strong Jr.,NE,20.4,126.7,1.1,5.4,41.3,0.1,0.1,23.8
Jaylen Warren,PIT,29.4,134,1,5.1,32.6,0.1,0.2,22.8
Ty Montgomery,NE,17.5,70.9,0.3,15.3,119,0.3,0.2,22.1
Snoop Conner,JAC,20.3,121.8,0.9,5.5,37.2,0.2,0.2,21.6
Ty Johnson,NYJ,6.6,80.1,0.5,8.7,77.7,0.3,0.2,20.7
Keaontay Ingram,ARI,25.1,121.3,0.7,4.2,32.4,0.1,0.1,19.7
Patrick Taylor Jr.,GB,0,112.8,1,3,20.4,0.1,0.3,19.4
DeeJay Dallas,SEA,15.9,81.8,0.6,9,61.2,0.2,0.1,18.8
Gary Brightwell,NYG,24.5,93.5,0.7,5.9,45,0.1,0.1,18.7
Jerome Ford,CLE,20.3,101.3,0.7,4.6,34.9,0.1,0.1,18.4
Tyler Badie,BAL,25.5,125.5,0.5,2.5,20,0,0,17.6
