PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Josh Allen,BUF,607.5,390.2,4405.3,34.6,13.9,117.3,663.4,6.9,3.8,400.7
Patrick Mahomes II,KC,634,417.6,4840.8,35.9,11.6,66.5,359.6,2.8,2.8,372.8
Justin Herbert,LAC,625.3,415.3,4681.3,34,13.3,63.9,294.6,3.2,1.4,355.6
Lamar Jackson,BAL,520.5,336.7,3733.3,24.5,13.2,158.7,956.4,4.9,3.5,352.3
Kyler Murray,ARI,570.7,384,4256.5,27.3,12.4,107.3,552.1,5.5,2.3,350.9
Jalen Hurts,PHI,494.7,307.1,3644.3,24.4,12.6,144.8,773.1,7.9,2.9,349.7
Tom Brady,TB,651.8,433.4,4840.7,36.3,11.9,28,45.7,1.7,2.4,336.7
Dak Prescott,DAL,593.7,399.5,4548.5,32.7,11.7,55.8,230.7,2.9,4.1,333
Joe Burrow,CIN,570.1,386.6,4575.2,31.3,12.8,46.6,187.4,2.2,1.8,323.8
Aaron Rodgers,GB,558.5,376.8,4324.6,32.8,7.1,38.7,136.2,1.8,1.6,318.4
Matthew Stafford,LAR,586.9,392.2,4587.4,33.6,13.9,33.3,99.2,1.2,2.4,316.1
Trey Lance,SF,468.5,292.8,3560.2,23.8,12.7,126.2,644.3,5.2,2.6,315.4
Russell Wilson,DEN,539.9,355.8,4106.9,29,9.6,62.7,278.9,2.1,2.3,306.7
Kirk Cousins,MIN,573.9,378.9,4347.3,31.2,11.4,29.2,107.1,1,2.9,298.7
Derek Carr,LV,596.8,399.5,4498.5,29,12.7,38.5,130,1.2,3.6,296.1
Tua Tagovailoa,MIA,575.2,379.6,4031,25.7,13.3,56,206,3,2.4,284.4
Ryan Tannehill,TEN,516.6,340.7,3754.1,24.2,13,55,253.7,3.9,2.6,277.3
Trevor Lawrence,JAC,585.2,370.2,3942,22.5,13.9,70.6,328.7,2.4,3,275.1
Justin Fields,CHI,504.9,311.8,3467.9,18.6,14.5,107.3,593.3,3.7,5,269.9
Matt Ryan,IND,539.1,352.7,3937.4,25.9,11.4,35.9,125.5,1.4,3.6,263.5
Daniel Jones,NYG,537.3,336.6,3613.8,20.6,12.5,81.2,424.5,2.7,4.7,263.5
Jameis Winston,NO,486.8,305.1,3524,24.7,12.6,53.8,273.7,1.7,2.8,259.3
Mac Jones,NE,544.7,359.4,3946.3,24.9,13.9,41.7,156.1,0.9,2.8,258.9
Carson Wentz,WAS,538.1,343.1,3694,22.4,11.6,57.5,240.6,1.9,3.9,253
Jared Goff,DET,565.3,371,3922.9,24.9,12.5,31.7,80.1,1,3.8,250.7
Baker Mayfield,CAR,550.3,345,3730.9,21.5,14.5,44.7,166,1.5,2.5,241
Davis Mills,HOU,538.1,351.6,3773.2,20.6,14.1,34.7,112.4,0.8,1.9,231.4
