PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christian McCaffrey,CAR,297.3,1302.1,12,93.7,758,4.3,2.5,298.6
Dalvin Cook,MIN,316.6,1487.5,12.9,55,473.5,2,2.9,279.5
Derrick Henry,TEN,343.5,1705.8,14.1,24.4,182.6,1.1,2.7,275.1
Alvin Kamara,NO,207,942.3,9.6,81.6,704.6,3.7,1.9,240.4
Jonathan Taylor,IND,272.7,1264.5,10.9,42,320.9,1.6,1.9,229.5
Nick Chubb,CLE,271.6,1362.5,11,29.3,229.1,1,1.9,227.2
Ezekiel Elliott,DAL,281.9,1210.1,9.5,52.8,393,2.4,2.9,226.2
Aaron Jones,GB,232.6,1126.5,10.4,50.8,391.6,2.7,2.1,226.1
Saquon Barkley,NYG,265.2,1199.5,9,56,434.9,1.9,1.8,225.2
Joe Mixon,CIN,274.9,1157.5,8.1,50.4,369.2,2.9,2,214.4
Najee Harris,PIT,261.1,1145.9,8.8,49.9,369.2,2.2,2.6,212.4
Antonio Gibson,WAS,242.6,1086.6,9.7,46.4,337.8,1.5,2.1,205.1
Austin Ekeler,LAC,178.6,815.2,4.7,79.2,684,4.6,1.6,203
Chris Carson,SEA,232.6,1065.2,7.4,43.5,322.5,2.4,2.1,193.3
Clyde Edwards-Helaire,KC,222.7,1001.8,7.3,50.6,389.6,2.2,1.8,192.7
David Montgomery,CHI,255.5,1068.6,8.1,40,315.1,1.6,2,192.4
Josh Jacobs,LV,257,1098.4,9.5,31.5,236.5,0.9,2,191.6
Miles Sanders,PHI,223.2,1068.2,6.8,40.7,333.2,1.7,1.8,187.3
D'Andre Swift,DET,189.4,844,7.7,58.4,435.8,2.1,2.3,182.3
James Robinson,JAC,222.5,964.8,6.8,43.2,310.2,1.4,1.6,173.6
Gus Edwards,BAL,220.5,1054.3,8.2,15.8,128.1,0.7,1.5,168.1
Darrell Henderson,LAR,208.5,903.9,7.2,31.2,260.2,1.6,1.7,165.8
Mike Davis,ATL,226.1,893.1,6.4,48.4,309.2,1.7,1.9,165.1
Chase Edmonds,ARI,169.9,757.3,5,51.9,380.1,2.9,1.5,158
Myles Gaskin,MIA,189.7,803.9,5.4,44.4,345.8,1.8,2,154.4
Damien Harris,NE,222.3,1043,6.5,13.3,99.3,0.3,1.4,152.3
Kareem Hunt,CLE,154.7,685,5.5,39.6,318.4,2.5,1.3,146
Javonte Williams,DEN,192.6,855.4,5.7,26.3,204.8,1.1,2,142.6
Raheem Mostert,SF,157.4,783.6,6,24,208.2,1.3,1.4,140.2
Leonard Fournette,TB,164.6,674.6,6.2,26.7,182.4,0.8,1.2,124.8
Melvin Gordon III,DEN,167.6,737.8,5.6,21.9,142.1,1,2.4,122.7
Zack Moss,BUF,156.4,671.3,5.6,23.7,171.1,1.2,1.2,122.5
Trey Sermon,SF,150.5,683.1,5.7,19.6,159.5,1,1.8,120.7
Ronald Jones II,TB,165.2,741.6,5.7,16,113.7,0.3,1.4,118.5
James Conner,ARI,146.2,655.9,5.6,23.1,161.2,0.7,1.4,116.6
Kenyan Drake,LV,131.1,546.5,4.6,39.1,272.4,1,1.4,113.1
Sony Michel,LAR,154.3,675.4,4.9,15.2,128.3,0.7,0.7,112.6
Michael Carter,NYJ,146.9,614,3.7,30.7,236.1,1.1,1.8,110.3
Jamaal Williams,DET,140.4,576.3,3.5,35.3,241.3,1.3,1.2,108
AJ Dillon,GB,142.9,650.8,4.8,15.2,116.4,0.5,1.4,106
David Johnson,HOU,102.1,420.6,3.5,33.2,296.3,2,0.8,102.7
Devin Singletary,BUF,123.1,547,3,32.1,226.4,1.3,1.3,100.3
Tony Pollard,DAL,114,509,3.3,31.9,234.4,1.4,1.2,100
Phillip Lindsay,HOU,122.2,537,3.3,23.5,151.3,0.5,1.2,89.6
Tevin Coleman,NYJ,136,527.9,3.7,17.8,135.5,0.3,1.2,88.6
J.D. McKissic,WAS,66.7,288.5,1.6,56.5,410.7,1.8,0.8,88.1
James White,NE,53,217.1,1.8,52.8,426.6,2.4,1.2,86.9
Nyheim Hines,IND,60.3,261.1,1.9,49.9,371.7,2.2,1.2,85.4
Alexander Mattison,MIN,116.6,524.1,2.8,16.6,135.7,0.7,0.7,85.1
Malcolm Brown,MIA,114.9,454.4,4.5,17.2,115.7,0.4,0.8,84.5
Darrynton Evans,TEN,91.5,405.9,3,20.3,169.3,1.3,1.2,80.8
Latavius Murray,NO,104.9,431.5,2.7,19.9,143.4,0.8,1.2,76.1
Mark Ingram II,HOU,95.3,410.3,3.1,13.8,112.3,0.8,0.7,74.4
Damien Williams,CHI,74.7,314.2,3,23,165.4,1.3,0.6,72.2
Rashaad Penny,SEA,86.6,404.6,3,13.7,108.2,0.7,0.7,71.8
Justin Jackson,LAC,95,433.6,2.1,19,136.5,0.4,0.6,70.9
Darrel Williams,KC,79.4,332.7,3.2,20.2,149.2,0.7,0.6,70.9
Ty'Son Williams,BAL,86.5,377.2,3.1,14.2,104.1,0.6,0.5,69.8
Ty Johnson,NYJ,90,388.2,2.3,17.6,119.2,0.7,0.3,68.7
Giovani Bernard,TB,55.7,201.8,1.4,37,280.8,1.8,0.7,65.9
Carlos Hyde,JAC,95.2,386.9,2.7,16.8,104.2,0.4,0.8,65.7
Rhamondre Stevenson,NE,88.7,377.7,3.2,10.5,80.2,0.4,1.2,65.2
Wayne Gallman Jr.,ATL,61.3,281.6,3.2,12.6,97.5,0.6,1,58.5
Boston Scott,PHI,62.5,265,2,21.1,166.3,0.7,0.7,57.9
Tarik Cohen,CHI,48.5,197.8,1.1,39.1,263.1,1.2,1.2,57.3
Trayveon Williams,CIN,68.1,290.6,1.8,18.8,152.7,0.7,3,53.4
Devontae Booker,NYG,78.8,333.4,2.1,11.8,78.3,0.2,0.7,53.2
Marlon Mack,IND,68.7,294.6,2.4,8.7,62.1,0.2,0.6,49.8
Chuba Hubbard,CAR,65.5,276.2,2.1,11.6,93.8,0.4,1.2,49.7
Jeff Wilson Jr.,SF,56.3,246.4,3,5.4,48.9,0.6,1,49.2
Salvon Ahmed,MIA,66.8,280.3,1.8,11.5,77,0.4,0.3,48.5
Cordarrelle Patterson,ATL,44.9,205.3,1.3,17.2,151.8,0.8,0.2,47.9
Joshua Kelley,LAC,87.5,328.2,1.9,6.3,45.5,0.2,1.2,47.4
Rex Burkhead,HOU,31.9,134.8,1.3,16.7,157.1,1.2,0.6,43.2
Kyle Juszczyk,SF,13.9,52.6,0.7,21.9,231.2,2,0.7,43.1
Kenneth Gainwell,PHI,52.4,237.8,1.6,11.9,93.6,0.4,1.1,42.9
DeeJay Dallas,SEA,45.1,179.6,1.4,14.5,107.1,0.8,0.6,40.9
Jaret Patterson,WAS,54.3,225.9,1.8,6.7,54.4,0.2,0.2,39.9
Mike Boone,DEN,50.8,243.9,1.8,7.3,48.5,0.1,1,38.6
Samaje Perine,CIN,52.7,222.6,1.5,9.1,61.7,0.2,0.1,38.5
Justice Hill,BAL,42.5,194.8,1.2,13.7,90.9,0.4,0.1,37.8
Peyton Barber,WAS,64.4,213.7,2.2,5.3,32.4,0.1,1,36.5
Brandon Bolden,NE,25.2,123.9,2.5,4.3,43.8,0.6,0,35.3
Matt Breida,BUF,45,198.8,1,10.5,83.4,0.5,1.1,35
Elijah Mitchell,SF,41,183.8,1.3,8.6,74.5,0.3,0.1,34.9
Benny Snell Jr.,PIT,55,203.1,1.4,6.7,46.2,0.1,0.6,33
Larry Rountree III,LAC,41.2,173.3,1.6,4.6,34.8,0.2,0.2,30.8
Tony Jones Jr.,NO,56,158.1,1.1,8.7,64,0.3,0.2,30.2
Jake Funk,LAR,36.3,149,1.2,9.7,71.5,0.2,0.2,30
Johnny Stanton,CLE,20,100,1,9,70,1,0,29
Jaylen Samuels,PIT,37,155.9,0.9,5,31.1,0.3,0,25.4
Jalen Richard,LV,23.7,103.6,0.5,13.1,104.4,0.4,0.6,25.1
Jerick McKinnon,KC,26.8,120.2,0.8,9.5,67.7,0.3,0.1,25
Anthony McFarland Jr.,PIT,37.3,144.8,0.9,6.8,53.6,0.1,0.6,24.8
J.J. Taylor,NE,29,125,1,6.8,50.4,0.3,0.2,24.8
Jermar Jefferson,DET,27.8,113.6,0.8,10.7,79.7,0.1,0.1,24.7
Rico Dowdle,DAL,33,136,1,4,34,0,0,23
Kene Nwangwu,MIN,23.5,98.7,0.8,7.7,60.1,0.3,0.1,22.4
Trevon Wesco,NYJ,0,0,0,20,176.7,0.7,0.2,21.4
Royce Freeman,CAR,28,117,0.7,5.5,35.3,0.2,0.1,20.3
Jeremy McNichols,TEN,27.2,119.6,0.7,4.7,31.5,0.1,0.1,19.5
Alex Collins,SEA,20.2,84.7,0.8,6.5,48.3,0.3,0.3,19.3
Chris Evans,CIN,24.5,97.4,0.4,6.6,49.7,0.2,0.2,18.4
