PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Tyreek Hill,KC,100.2,1436.2,12.3,12.9,82.4,0.8,0.7,229.2
Davante Adams,GB,122.5,1462.5,12.8,0,0,0,0.8,221.3
Stefon Diggs,BUF,113.5,1474.5,9.3,2.4,15.6,0.1,1.2,202.4
Calvin Ridley,ATL,99.3,1415.3,8.8,4.6,26.2,0.1,0.8,196.1
DeAndre Hopkins,ARI,122.1,1467.7,7.6,0.9,4.4,0,1.5,190.2
D.K. Metcalf,SEA,86.6,1301.3,9.9,0.3,1.3,0,1.4,187.2
Justin Jefferson,MIN,93.5,1392.3,7.9,0.4,1.5,0,0.8,185.2
A.J. Brown,TEN,84.5,1267.9,9.8,0.5,7.5,0,0.9,184.5
Keenan Allen,LAC,111.2,1208.6,7.9,3,16.3,0.1,1,168.4
Mike Evans,TB,76.1,1113.5,9.4,0,0,0,0.7,166.5
Terry McLaurin,WAS,91.5,1235.7,6.5,1.8,12.1,0.1,0.7,162.9
Allen Robinson II,CHI,98.3,1223.4,6.9,0.3,0.3,0,0.7,162.6
Amari Cooper,DAL,89.8,1187.7,7.2,2.6,11.7,0,0.7,161.9
Adam Thielen,MIN,79.6,1021.5,9.2,3.2,14.6,0.3,0.7,158.9
Robert Woods,LAR,97.3,1080.4,6,17,106.5,0.9,0.8,158.4
CeeDee Lamb,DAL,84.6,1099.7,6.6,8.5,61.2,0.6,0.8,157.7
Tyler Lockett,SEA,93.4,1063.1,8.4,1,2.7,0,0.7,155.6
Julio Jones,TEN,77.8,1102.8,7.2,0.5,-0.5,0,0.7,152.3
D.J. Moore,CAR,82.3,1186.1,5.4,3.1,20.1,0.1,0.8,151.9
Cooper Kupp,LAR,92.8,1066.6,7.1,3.9,23.7,0.1,0.7,150.9
Chris Godwin,TB,82.1,1067.3,7.5,0.3,2,0,0.8,150.1
Tee Higgins,CIN,79.2,1058.3,6.4,2.3,12.4,0,0.8,144
Odell Beckham Jr.,CLE,71.1,994.3,6.5,5.6,50.6,0.3,0.7,143.7
Brandon Aiyuk,SF,73.1,926.3,6.5,14.6,82.4,0.7,0.7,142.8
Kenny Golladay,NYG,69.9,1033.1,6.3,0,0,0,0.7,139.9
Diontae Johnson,PIT,93.9,981,6.6,4.4,27.4,0.1,1.4,137.7
Ja'Marr Chase,CIN,71.9,1041.7,5.8,1.5,8.2,0,1.2,137.7
Chase Claypool,PIT,69.6,892.1,6.8,8.3,44.3,0.6,0.9,136.6
Courtland Sutton,DEN,70,992.9,6.3,1.7,9.4,0,0.7,136.6
Brandin Cooks,HOU,75.3,1052.5,5.2,0.8,6.8,0,0.7,135.9
Jerry Jeudy,DEN,73.1,1030.8,5.5,0,0,0,0.8,134.5
Deebo Samuel,SF,70.4,898.6,4.7,13.5,99.3,0.7,0.8,130.8
Robby Anderson,CAR,80.3,991.3,5.2,2.5,12.3,0.1,0.8,130.6
JuJu Smith-Schuster,PIT,89.3,901.9,6.7,0,0,0,0.9,128.6
D.J. Chark Jr.,JAC,70.6,941.6,5.9,0.3,3.3,0,0.6,128.4
Michael Gallup,DAL,64.1,941.7,5.9,0,0,0,0.6,128.3
Tyler Boyd,CIN,84,932,5.5,2.1,15.7,0,0.8,126.5
Mike Williams,LAC,56.7,925.1,5.7,0.3,0.5,0,0.6,125.8
Laviska Shenault Jr.,JAC,75,825.8,4.9,19.7,108.7,0.5,0.7,124.5
Marvin Jones Jr.,JAC,68.7,876.4,6.3,0.3,0,0,0.6,124.3
Marquise Brown,BAL,61.2,824.6,7,1.5,8,0,0.6,124.1
Curtis Samuel,WAS,62.3,735.2,4.8,24.6,128.5,1.1,0.7,120.4
Jarvis Landry,CLE,73.6,885.3,5,1.9,9.7,0.3,0.8,120.1
DeVonta Smith,PHI,63.7,895.8,5.1,1,6.2,0,1.2,118.3
Will Fuller V,MIA,66.6,849.1,5.3,0,0,0,0.6,115.6
DeVante Parker,MIA,65.5,833,5.5,0,0,0,0.7,115
Michael Thomas,NO,71.8,857,4.9,0.3,-0.8,0,0.7,113.5
