PlayerName,Team,fg,fga,xpt,fpts
Harrison Butker,KC,30.1,34.2,50.5,140.9
Justin Tucker,BAL,29.7,33.4,50.8,140.1
Tyler Bass,BUF,27.9,33.3,48.5,132.1
Greg Zuerlein,DAL,29.3,36.2,43.9,131.9
Jason Myers,SEA,27.5,31.4,44.9,127.4
Jason Sanders,MIA,29.7,34.8,37.6,126.7
Ryan Succop,TB,26.7,31.7,46.2,126.2
Rodrigo Blankenship,IND,28.6,34.3,40,125.8
Younghoe Koo,ATL,30,34.1,35.7,125.7
Mason Crosby,GB,24.7,27.3,51.2,125.2
Robbie Gould,SF,26.9,33.9,43.3,124
Matt Gay,LAR,28.4,33.5,38.1,123.3
Daniel Carlson,LV,27.9,34,38.8,122.6
Matt Prater,ARI,26.4,31.6,42.3,121.4
Graham Gano,NYG,29.7,32.8,32.2,121.4
Michael Badgley,LAC,27,35.1,39.4,120.5
Sam Ficken,TEN,24.8,31.1,44.8,119.1
Cairo Santos,CHI,27.3,33.1,36.1,118.1
Greg Joseph,MIN,24.7,29.9,43.8,118
Nick Folk,NE,27,31.3,36.2,117.1
Brandon McManus,DEN,27.6,31.9,34,116.8
Evan McPherson,CIN,26.9,32.6,35.4,116.2
Ka'imi Fairbairn,HOU,27.2,32.3,34.3,116
Chase McLaughlin,CLE,25.6,30.6,38.4,115
Chris Boswell,PIT,25.5,29.1,37.5,114.1
Joey Slye,CAR,26.7,33.5,32.7,112.8
Dustin Hopkins,WAS,25.8,31.8,33.7,111
Randy Bullock,DET,26,31.5,32.6,110.5
Josh Lambo,JAC,25.6,28.4,31.7,108.6
Austin Seibert,CIN,25.3,33.7,27.9,103.9
Jake Elliott,PHI,22.1,27.4,33.8,100.1
Matt Ammendola,NYJ,22,26,28,94
Cody Parkey,CLE,13.6,16.4,22.7,63.6
Aldrick Rosas,NO,12.8,16.7,21.2,59.5
Wil Lutz,NO,12.4,14.7,20.6,57.8
Brett Maher,NO,0,0,0,0
