PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Colby Parkinson,SEA,4.2,44,0.5,0,7.1
Josh Oliver,BAL,4.3,44.6,0.4,0,7
Josiah Deguara,GB,4.3,47.1,0.4,0.1,7
Ben Ellefson,JAC,4.2,42,0.3,0,6.2
Demetrius Harris,ARI,3.8,39.2,0.4,0,6.2
Luke Stocker,TEN,3.9,37.8,0.4,0.1,5.9
Mason Schreck,CIN,3.5,36.2,0.3,0,5.2
Alize Mack,DET,4.1,39.4,0.2,0,5.1
Tyree Jackson,PHI,3.5,36.2,0.2,0,4.9
Dominique Dafney,GB,2.4,25.7,0.2,0,3.9
Lee Smith,ATL,2.6,25,0.2,0,3.6
Sean McKeon,DAL,2.6,26.7,0.2,0,3.5
Jordan Franks,CLE,2.1,23.5,0.2,0,3.4
Trevon Wesco,NYJ,2.3,24.3,0.1,0,3.1
Cethan Carter,MIA,2.5,24.2,0.1,0,3.1
Eric Saubert,DEN,2.3,22.7,0.1,0,3.1
Kaden Smith,NYG,2.5,22.1,0.1,0,3
Ricky Seals-Jones,WAS,1.5,18.3,0.2,0,2.9
Zach Davidson,MIN,1.7,17.6,0.1,0,2.6
Tanner Hudson,TB,1.5,15.7,0.2,0,2.5
Troy Fumagalli,NE,1.4,12.7,0.2,0,2.2
Temarrick Hemingway,WAS,1.4,16.1,0.1,0,2
Brandon Dillon,MIN,1.3,13.8,0.1,0,2
Eric Tomlinson,BAL,1.2,11.8,0.1,0,1.6
Matt LaCosse,NE,1.2,12.8,0.1,0,1.6
Codey McElroy,TB,0.9,8.6,0.1,0,1.5
Isaac Nauta,GB,0.8,8.3,0.1,0,1.4
Kevin Rader,PIT,0.9,8.8,0,0,1.1
Tyrone Swoopes,WAS,0.9,9.7,0,0,1
Garrett Griffin,NO,0.8,8.7,0,0,0.9
MyCole Pruitt,SF,0.9,8.3,0,0,0.9
Jason Croom,PHI,0.8,8.5,0,0,0.9
Jesper Horsted,CHI,0.8,8.5,0,0,0.8
Tim Tebow,JAC,0.9,8.4,0,0,0.8
Hakeem Butler,PHI,0.8,8.4,0,0,0.8
Cole Hikutini,NYG,0.8,7.2,0,0,0.7
Colin Thompson,CAR,0.7,6.8,0,0,0.7
Deon Yelder,TEN,0.1,0.5,0,0,0.1
