Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
A.J. Brown,2,10,0,46,615,3,0,1,0,0,0,0,0,0,0,TEN,wr
A.J. Green,0,0,0,34,538,3,0,0,0,0,0,0,0,0,0,ARI,wr
Aaron Jones,133,564,3,37,298,4,0,0,0,0,0,0,0,0,2,GNB,rb
Aaron Rodgers,24,76,3,1,-4,0,247,373,2878,23,4,0,0,0,2,GNB,qb
Adam Humphries,0,0,0,25,269,0,0,0,0,0,0,0,0,0,0,WAS,wr
Adam Prentice,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,NOR,fb
Adam Shaheen,0,0,0,12,110,0,0,0,0,0,0,0,0,0,0,MIA,te
Adam Thielen,1,2,0,63,686,10,0,0,0,0,0,0,0,0,1,MIN,wr
Adam Trautman,0,0,0,25,241,1,0,0,0,0,0,0,0,0,1,NOR,te
Adrian Peterson,27,82,1,4,8,0,0,0,0,0,0,0,0,0,0,TEN,rb
AJ Dillon,128,543,2,27,261,2,0,0,0,0,0,0,0,0,2,GNB,rb
Albert Okwuegbunam,0,0,0,20,205,1,0,0,0,0,0,0,0,0,1,DEN,te
Albert Wilson,3,16,0,20,178,0,0,1,0,0,0,0,0,0,0,MIA,wr
Alec Ingold,2,1,0,10,85,1,0,0,0,0,0,0,0,0,0,LVR,fb
Alex Armah,5,21,0,1,1,1,0,0,0,0,0,0,0,0,0,NOR,fb
Alex Collins,101,395,2,8,86,0,0,0,0,0,0,0,0,0,1,SEA,rb
Alex Erickson,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,CAR,NA
Alexander Mattison,88,315,1,21,149,1,0,0,0,0,0,0,0,0,1,MIN,rb
Allen Lazard,0,0,0,19,223,3,0,0,0,0,0,0,0,0,0,GNB,wr
Allen Robinson II,0,0,0,30,339,1,0,0,0,0,0,0,0,0,0,CHI,wr
Alvin Kamara,146,530,3,32,310,4,0,0,0,0,0,0,0,0,0,NOR,rb
Amani Hooker,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,TEN,db
Amari Cooper,0,0,0,44,583,5,0,0,0,0,0,0,0,0,1,DAL,wr
Amari Rodgers,1,11,0,3,40,0,0,0,0,0,0,0,0,0,2,GNB,wr
Ameer Abdullah,28,95,0,16,129,0,0,0,0,0,0,0,0,0,0,2TM,rb
