PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Josh Allen,BUF,605.6,400.6,4584.6,34.1,13.3,110.7,519.8,7.6,5.1,394
Patrick Mahomes II,KC,629.6,418,5018.9,38.8,8.9,55.5,267.9,3,2.5,386.6
Kyler Murray,ARI,591,391.4,4219.3,26.7,12.9,126.5,702.1,7.7,3.7,372
Lamar Jackson,BAL,456.6,292.4,3332.9,28.3,11.7,161.3,966.2,7.2,4.5,365.6
Dak Prescott,DAL,622.5,416,4847.4,31.1,11.1,63.5,296.3,4.1,4.2,352.8
Russell Wilson,SEA,575,383.7,4283.7,34.7,12.3,81.9,441.3,2.1,3.5,347.1
Justin Herbert,LAC,614.5,398.8,4566.6,30.5,11.9,61.3,273,4.6,2.6,342.5
Aaron Rodgers,GB,571.9,385.1,4440.2,36.6,7.2,39.9,168.4,1.9,3.1,338.7
Tom Brady,TB,621.2,404.7,4702.6,37.2,11.9,24.5,31.8,2.1,2.2,336.3
Jalen Hurts,PHI,528.2,322.6,3655.2,22.1,13.9,138.7,715.9,6,4.7,318.7
Ryan Tannehill,TEN,527.8,348.6,4110.5,30,10.5,51.9,229.7,3.4,2.9,312
Joe Burrow,CIN,612.3,399.9,4314.6,26.5,11.5,54.1,227.2,3,4.2,299.5
Matthew Stafford,LAR,612.1,405.3,4566.3,28.4,11.5,31.8,120.9,0.7,3.2,294.8
Trevor Lawrence,JAC,592.4,377.8,4151.9,24.6,12.8,65.4,322.5,2.3,2.7,292.5
Matt Ryan,ATL,613.4,400.8,4516,27.3,13.1,33.1,117.6,1.3,4.3,287.9
Kirk Cousins,MIN,541.6,363.8,4272.1,30,13,35.3,114.2,1.1,4.1,287.7
Tua Tagovailoa,MIA,580.3,378.3,3992.1,26.4,13.6,56.7,214.9,2.8,1.8,286.2
Ryan Fitzpatrick,WAS,587.4,389.6,4161,23.9,16.6,51.6,253.9,3.1,2.3,284.6
Baker Mayfield,CLE,543.4,346.6,3992.2,28,11.5,44.2,168.4,1.8,3.4,281.1
Justin Fields,CHI,528.9,334.8,3619.4,22,12.7,91.6,455.2,3.6,3.5,280.2
Derek Carr,LV,563.8,373.8,4298.6,26.4,11.1,30.4,106.6,1.8,5.2,277.2
Ben Roethlisberger,PIT,616.5,399.7,4167.6,29.5,14,20.9,45.2,0.5,2.2,273.7
