"Player.Name.","X.Team.","pass_att.","pass_cmp.","pass_yds.","pass_tds.","pass_ints.","rush_att.","rush_yds.","rush_tds.","fumbles.","fpts."
"Ryan Mallett","NE",2.5,1.5,15.5,0,0,1,-1.5,0,0,0.5
"Logan Thomas","ARI",0,0,0,0,0,0,0,0,0,0
"Ryan Nassib","NYG",0,0,0,0,0,0,0,0,0,0
"AJ McCarron","CIN",0,0,0,0,0,0,0,0,0,0
"Jimmy Garoppolo","NE",0,0,0,0,0,0,0,0,0,0
"Luke McCown","NO",0,0,0,0,0,0,0,0,0,0
"Landry Jones","PIT",0,0,0,0,0,0,0,0,0,0
"Brad Sorensen","SD",0,0,0,0,0,0,0,0,0,0
"Colt McCoy","WAS",0,0,0,0,0,0,0,0,0,0
"Matt McGloin","OAK",0,0,0,0,0,0,0,0,0,0
"Aaron Murray","KC",0,0,0,0,0,0,0,0,0,0
"Dan Orlovsky","DET",0,0,0,0,0,0,0,0,0,0
"Tyler Bray","KC",0,0,0,0,0,0,0,0,0,0
"Matt Barkley","PHI",0,0,0,0,0,0,0,0,0,0
