PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Rob Gronkowski,NE,74.8,1081.6,9.1,0.2,162.2
Travis Kelce,KC,83,989.2,6.7,0.2,138.5
Zach Ertz,PHI,76.2,848.4,6.4,0.5,122
Greg Olsen,CAR,63.2,770.7,5.1,0.3,107.4
Evan Engram,NYG,67.7,762.2,5.3,0.3,107.4
Delanie Walker,TEN,66.7,772.8,5,0.9,105.5
Jimmy Graham,GB,62.1,648.6,6.7,0.5,104.2
Kyle Rudolph,MIN,60.3,606.3,5.9,0.2,95.5
Jordan Reed,WAS,60.7,627.6,4.6,0.4,89.5
Jack Doyle,IND,63.7,621.6,4.7,0.9,88.8
Trey Burton,CHI,54.4,598.4,4.3,0.3,84.8
George Kittle,SF,47.2,559.4,4.2,0.3,80.5
Cameron Brate,TB,44.9,544.9,4.1,0.3,78.5
Jared Cook,OAK,46.6,571.2,3.6,0.5,77.5
David Njoku,CLE,48.2,534.6,4.1,0.2,77.3
Eric Ebron,IND,45.3,534.1,4.1,0.5,76.9
Tyler Eifert,CIN,40.9,486.9,4.7,0.3,76.5
Charles Clay,BUF,51.9,551.9,3,0.2,73
Ricky Seals-Jones,ARI,37.3,494.1,4,0.3,72.9
Vance McDonald,PIT,41.6,507.2,3.6,0.2,72
O.J. Howard,TB,38.3,493.8,3.9,1.2,70.2
Benjamin Watson,NO,44.9,467.6,3.8,0.2,69
Austin Hooper,ATL,44.1,473.3,3.4,0.2,67.4
Austin Seferian-Jenkins,JAC,44.8,465.8,3.2,0.5,64.6
Hayden Hurst,BAL,41.1,401.7,2.9,0.3,56.9
Vernon Davis,WAS,32.3,411.3,2.6,1,55
Mike Gesicki,MIA,39.3,375.1,2.6,0.3,52.7
Luke Willson,DET,33.3,317.9,2.8,0.2,48.1
Jake Butt,DEN,29.5,326.0,2.4,0.4,46
Virgil Green,LAC,30.3,311.6,2.4,0.2,44.9
Ryan Griffin,HOU,28.2,332.0,2,0.6,44.1
Blake Jarwin,DAL,27.8,294.7,2.4,0.3,43.6
Ed Dickson,SEA,26.3,305.6,2.2,0.2,43.4
Tyler Higbee,LAR,27.5,302.3,2.2,0.3,42.6
Garrett Celek,SF,23.6,272.3,2.6,0.2,42.4
Tyler Kroft,CIN,26.6,266.5,2.5,0.2,41.1
Jesse James,PIT,28.5,273.6,2.1,0.2,39.8
Dallas Goedert,PHI,25.2,253.7,2.2,0.2,38.3
Nick Vannett,SEA,24.5,244.3,2.1,0.2,37
Jonnu Smith,TEN,24.4,248.1,2,0.2,36.7
Gerald Everett,LAR,21.4,239.5,2.1,0.6,35.3
Jermaine Gresham,ARI,25.2,258.5,1.4,0.2,34.1
Adam Shaheen,CHI,18.7,216.8,2,0.1,33.5
Stephen Anderson,HOU,20.3,235.7,1.5,0.2,32.3
Marcedes Lewis,GB,16.5,179.2,2.3,0.2,31.2
Nick O'Leary,BUF,19.4,229.8,1.2,0.5,29.4
Jeff Heuerman,DEN,17.3,197.0,1.4,0.2,27.5
Demetrius Harris,KC,16,179.8,1.3,0.2,25.4
Chris Herndon IV,NYJ,18.2,186.1,1.3,0.3,25.4
Mark Andrews,BAL,19,180.2,1.2,0.2,24.9
Nick Boyle,BAL,18.8,171.6,1.1,0.1,23.5
Josh Hill,NO,16.5,170.6,1.4,1,23.5
Seth DeValve,CLE,13.9,152.3,1.2,0.2,22.3
Jordan Akins,HOU,16.3,163.9,1.1,0.3,22.1
A.J. Derby,MIA,12.3,154.6,1.1,0.2,21.8
Clive Walford,NYJ,15.3,153.3,1.1,0.1,21.8
Jordan Leggett,NYJ,14.8,152.9,1.1,0.4,21.3
Dwayne Allen,NE,12,130.4,1.4,0.2,21
Rico Gathers,DAL,14.2,147.7,1.1,0.3,20.7
Braedon Bowman,LAC,12.3,136.9,1.2,0.1,20.6
Rhett Ellison,NYG,14,143.3,1.1,0.2,20.4
Sean Culkin,LAC,10.8,119.4,1.2,0.1,19
Lance Kendricks,GB,12.2,127.7,1.1,0.1,18.9
MarQueis Gray,MIA,14.6,140.5,0.9,0.3,18.6
Geoff Swaim,DAL,10.5,113.6,1.2,0.2,17.9
Ian Thomas,CAR,7,123.4,0.9,0.2,17.2
Darren Fells,CLE,11.4,121.1,0.8,0.4,16.2
Richard Rodgers,PHI,9.8,108.5,0.9,0.1,16.2
Michael Roberts,DET,10.9,113.9,0.8,0.1,15.9
Ben Koyack,JAC,11.1,103.8,0.9,0.1,15.7
David Morgan,MIN,10,102.2,0.8,0.1,14.6
Dion Sims,CHI,9.5,103.7,0.7,0.1,14.6
Will Dissly,SEA,9.7,96.6,0.9,0.2,14.3
Levine Toilolo,DET,10.2,102.8,0.7,0.1,14.2
James O'Shaughnessy,JAC,7.2,74.2,0.9,0.1,12.9
Durham Smythe,MIA,9.2,89.2,0.7,0.3,12.6
Austin Traylor,DEN,9.7,103.0,0.5,0.5,12.5
Niles Paul,JAC,8.7,81.8,0.7,0.1,12.3
Maxx Williams,BAL,11.7,95.1,0.6,0.4,12.2
Eric Saubert,ATL,7.1,72.9,0.7,0,11.6
Erik Swoope,IND,7.6,89.7,0.4,0.1,11.4
Eric Tomlinson,NYJ,6.7,77.1,0.6,0.1,11.2
Evan Baylis,CAR,7.2,74.6,0.6,0,10.9
Sean McGrath,DET,6,68.2,0.7,0.1,10.9
Jaylen Samuels,PIT,0,92.1,0.5,0.6,10.7
Matt Lengel,HOU,4.8,56.1,0.7,0,10.1
Dalton Schultz,DAL,8,83.7,0.4,0.5,10
Logan Thomas,BUF,6.5,63.9,0.6,0.1,9.9
Tim Wright,KC,5.4,58.4,0.6,0,9.6
Neal Sterling,NYJ,6.4,79.1,0.3,0.1,9.4
Emanuel Byrd,GB,4.9,55.0,0.6,0,9.2
Cole Wick,SF,5.3,56.4,0.5,0,8.5
Cole Hikutini,SF,4.7,57.3,0.4,0,8.4
Jacob Hollister,NE,5.8,59.1,0.4,0.1,8.3
Xavier Grimble,PIT,5.8,54.0,0.5,0.1,8.2
Jace Amaro,KC,4.9,53.8,0.5,0,8.2
Antony Auclair,TB,4.7,49.4,0.5,0.1,7.6
Derek Carrier,OAK,7.9,59.1,0.3,0.1,7.5
MyCole Pruitt,HOU,5.1,54.6,0.3,0,7.4
Jerell Adams,NYG,5.9,62.1,0.2,0,7.4
Troy Fumagalli,DEN,5.6,57.4,0.3,0.1,7.4
Henry Krieger Coble,LAR,4.5,49.1,0.4,0,7.3
C.J. Uzomah,CIN,6.8,64.4,0.2,0.1,7.2
Ryan Izzo,MIN,5,48.0,0.4,0,7.2
Logan Paulsen,ATL,4.9,48.3,0.4,0.1,7
Alex Ellis,KC,4.9,49.5,0.3,0,7
Lee Smith,OAK,6.5,57.7,0.2,0.1,7
Gavin Escobar,MIA,4,41.5,0.5,0.1,7
Luke Stocker,TEN,5.1,40.5,0.5,0.1,6.9
Jeremy Sprinkle,WAS,4.5,46.7,0.4,0.1,6.9
Tyler Conklin,NE,5.3,60.7,0.1,0,6.9
Michael Hoomanawanui,NO,4.4,44.1,0.4,0.1,6.8
Hakeem Valles,DET,4.7,42.3,0.4,0,6.8
John Phillips,NO,5,40.0,0.5,0.1,6.8
Alan Cross,TB,4.3,47.8,0.3,0,6.7
Gabe Holmes,ARI,4.5,46.6,0.3,0,6.7
Temarrick Hemingway,LAR,4,44.8,0.4,0.1,6.5
Khari Lee,BUF,4.4,39.0,0.4,0,6.3
Cethan Carter,CIN,4,43.3,0.3,0,6.2
Garrett Griffin,NO,5.1,38.8,0.3,0,5.9
Daniel Brown,CHI,4.4,47.4,0.2,0.1,5.9
Blake Bell,MIN,4.4,45.8,0.3,0.1,5.9
Jordan Thomas,HOU,4,40.0,0.3,0,5.8
Mason Schreck,CIN,4,35.0,0.3,0,5.3
Bucky Hodges,PIT,4,34.0,0.3,0,5.2
Ben Braunecker,CHI,3.5,37.4,0.3,0.1,5.1
Chris Manhertz,CAR,4.2,37.8,0.2,0,5
Orson Charles,CLE,3.5,42.5,0.1,0,4.9
Will Tye,NE,4.6,37.1,0.2,0,4.6
Ross Travis,IND,3.6,35.1,0.1,0.1,4.2
Darrell Daniels,IND,3.2,30.2,0.2,0.1,3.8
Ryan Hewitt,CIN,2,19.0,0,0.1,1.7
