PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Antonio Brown,PIT,104.7,1469.1,10.1,0.2,1.1,0,0.1,207.5
DeAndre Hopkins,HOU,93.5,1331.1,9.7,0,0,0,0.6,190.1
Julio Jones,ATL,94,1453.0,6.7,0.9,6.4,0,0.1,186.2
Odell Beckham Jr.,NYG,96.6,1260.3,8.3,2.3,14.1,0,0.5,176.2
Michael Thomas,NO,99.5,1235.6,7.3,0.3,1,0,0.2,167.3
Keenan Allen,LAC,95.6,1250.3,7,1,5.2,0,0.2,167
A.J. Green,CIN,86.2,1199.6,7.7,0,0,0,1.2,163.5
Davante Adams,GB,84.6,1075.6,9.2,0,0,0,0.2,162.2
Mike Evans,TB,80.5,1129.0,7.1,0,0,0,0.2,155
T.Y. Hilton,IND,72.1,1110.1,6.6,0,0,0,0.7,149.2
Tyreek Hill,KC,75.5,989.2,6,15.5,93.5,0.9,0.3,149.1
Doug Baldwin,SEA,79.4,1030.6,7,1.8,8.2,0,0.2,145.6
Adam Thielen,MIN,81.9,1104.4,5.7,1.3,6.8,0,1.3,142.8
Stefon Diggs,MIN,77,994.7,6.5,5.5,29.6,0.1,0.2,141.9
Amari Cooper,OAK,76.5,1021.6,6.5,1,6,0,0.3,141.1
Demaryius Thomas,DEN,84.2,1011.2,5.9,0,0,0,0.9,134.7
JuJu Smith-Schuster,PIT,66.2,908.3,7.1,0.3,1.3,0,0.1,133.5
Alshon Jeffery,PHI,62.8,895.5,7.3,0,0,0,0.2,133
Brandin Cooks,LAR,61.2,897.9,6.1,6.6,37.8,0.4,0.3,131.6
Larry Fitzgerald,ARI,96.9,999.5,5.5,0.1,0.2,0,0.8,131.1
Allen Robinson,CHI,68.7,958.7,5.9,0.3,1,0,0.2,130.9
Josh Gordon,CLE,65.3,962.2,5.8,0.5,2.9,0,0.3,130.8
Marvin Jones,DET,60.3,914.4,6.6,0,-0.1,0,0.3,130.1
Golden Tate,DET,89.9,989.5,5,4.6,21.9,0,0.8,129.6
Chris Hogan,NE,58.9,836.0,6.4,2.2,14.1,0.1,0.2,123.4
