PlayerName,Team,fg,fga,xpt,fpts
Stephen Gostkowski,NE,30.8,36.7,49.3,141.8
Greg Zuerlein,LAR,30.9,36,41.5,134
Chris Boswell,PIT,29.7,34.8,42,131.2
Justin Tucker,BAL,31.4,36.2,36.3,130.5
Matt Bryant,ATL,29.5,34.5,41.8,130.2
Harrison Butker,KC,30,35.9,37.8,127.8
Wil Lutz,NO,27.2,32.2,45.8,127.3
Jake Elliott,PHI,28,33.2,41.8,125.7
Robbie Gould,SF,29.4,34.1,34.6,122.7
Matt Prater,DET,27.9,33.2,38.3,122
Mason Crosby,GB,26,31.7,43.2,121.3
Graham Gano,CAR,28.4,33.1,35.9,121.2
Sam Ficken,LAR,25.2,0,43,118.6
Josh Lambo,JAC,26.9,30.8,36.8,117.5
Dan Bailey,DAL,25.7,31.7,39.8,117
Adam Vinatieri,IND,27.3,32.6,34.8,116.7
Ryan Succop,TEN,26.3,31.7,36.1,114.9
Caleb Sturgis,LAC,24.7,29.1,38.7,112.8
Phil Dawson,ARI,26.2,31.9,33.7,112.5
Sebastian Janikowski,SEA,24.9,30,36.5,111.3
Dustin Hopkins,WAS,24.3,30.2,36.7,109.7
Ka'imi Fairbairn,HOU,24.7,29.9,34.3,108.3
Brandon McManus,DEN,25.5,32.1,31.6,108
Chandler Catanzaro,TB,24.4,28.9,33.5,106.7
Steven Hauschka,BUF,25.4,29.6,29.7,105.8
Randy Bullock,CIN,23.1,26.5,33.4,102.8
Jason Sanders,MIA,22.8,26.5,32.8,101.2
Cody Parkey,CHI,23.5,27.2,30.7,101.1
Aldrick Rosas,NYG,22.6,28.6,31.8,99.5
Zane Gonzalez,CLE,22.4,27.3,31.1,98.3
Daniel Carlson,MIN,22.1,25.2,30.8,97.1
Eddy Pineiro,OAK,20.1,22.9,32,92.2
Cairo Santos,NYJ,19,20.9,25.5,82.5
Roberto Aguayo,LAC,14.1,3,23.1,65.5
Mike Nugent,OAK,2.8,3.3,11.1,19.4
Marshall Koehn,NYG,0.8,1,1.4,3.8
