PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
CeeDee Lamb,DAL,116.4,1495.3,9.7,9.8,68.4,0.8,1.1,217.4
Tyreek Hill,MIA,110.2,1542.5,9.8,5.2,30.5,0.1,1,215
Ja'Marr Chase,CIN,106.3,1347.5,9.3,3,12.6,0.1,0.7,191.1
Justin Jefferson,MIN,104.9,1451,7.6,1.2,3.9,0,1,189.4
Amon-Ra St. Brown,DET,110.9,1353.9,8.2,4.5,31.2,0.1,0.9,186.4
A.J. Brown,PHI,94.4,1342.1,8.6,0,1.4,0,1.3,183.2
Puka Nacua,LAR,95.5,1310.1,7.2,9.5,57.6,0.2,0.7,179.8
Garrett Wilson,NYJ,95.4,1187.1,8.1,3.9,19.2,0.1,1.3,167.4
Deebo Samuel Sr.,SF,66.9,923.9,5.9,33.9,199.6,3,1,163.6
Mike Evans,TB,75.5,1121.6,8.4,0,1.2,0,0.5,161.7
Chris Olave,NO,89.8,1204.1,6.6,0,1,0,0.6,159
Nico Collins,HOU,77.9,1138.2,7.4,1.6,8.6,0,0.5,158.1
Davante Adams,LV,94.3,1152.7,6.9,0,1,0,0.5,155.9
Brandon Aiyuk,SF,75.6,1135.9,7.3,0.8,4,0,0.9,155.8
Marvin Harrison Jr.,ARI,87.9,1166.3,6.8,0.5,3.6,0,1.5,154.6
DK Metcalf,SEA,73.7,1069,8.1,0,1.2,0,0.5,154.5
Drake London,ATL,86.8,1133.1,7,0,2.2,0,0.9,153.9
DeVonta Smith,PHI,85.5,1093,7.2,0,1.2,0,0.9,150.5
DJ Moore,CHI,77.1,1053.5,7,2,14.5,0.2,0.9,148.3
Cooper Kupp,LAR,85,1038.2,7,2.9,17.3,0.1,0.5,146.8
George Pickens,PIT,71.3,1100.2,6.1,2.6,16.9,0,0.9,146.6
Jaylen Waddle,MIA,80.8,1108.5,5.7,3.6,21.1,0.1,0.5,146.3
Amari Cooper,CLE,72.5,1095,6.3,0,1,0,0.9,145.3
Tee Higgins,CIN,71.1,1014.7,7.3,0,1,0,0.5,144.4
Tank Dell,HOU,69,941.3,6.9,11.1,61.7,0.2,0.6,141.6
Stefon Diggs,HOU,84.1,1019.8,6.6,1.9,9.2,0.1,1,140.6
Zay Flowers,BAL,79.6,966.2,6.2,7.4,46.3,0.6,1,140
Calvin Ridley,TEN,70.3,960.5,6.8,2.9,14.6,0,0.5,137.1
Malik Nabers,NYG,79.5,1047.7,5.6,0.5,5,0,1.2,136.5
Michael Pittman Jr.,IND,97.1,1069.5,5,0.3,3,0,1,135.3
Chris Godwin,TB,83.1,989.6,5.3,2.7,20.9,0.3,0.5,133
Christian Kirk,JAC,80.9,1007.6,5.4,1,6.6,0,1.3,131.4
Jayden Reed,GB,65.9,819.7,6,9,73.6,1.2,0.6,130.8
Hollywood Brown,KC,66.1,866,7,1.5,11.6,0,0.5,128.8
