PlayerName,Team,fg,fga,xpt,fpts
Younghoe Koo ATL,Younghoe Koo ATL,33.1,37.8,47.8,147
Justin Tucker BAL,Justin Tucker BAL,31.5,35.5,46.7,141.2
Harrison Butker KC,Harrison Butker KC,30.5,34.5,47.9,139.2
Brandon Aubrey DAL,Brandon Aubrey DAL,31.9,35.5,42.8,138.6
Jake Elliott PHI,Jake Elliott PHI,29.3,32.8,47.7,135.6
Jason Myers SEA,Jason Myers SEA,31.5,36.6,38.9,133.5
Ka'imi Fairbairn HOU,Ka'imi Fairbairn HOU,29.9,33.9,42.1,131.8
Cameron Dicker LAC,Cameron Dicker LAC,30,33.2,41.4,131.4
Blake Grupe NO,Blake Grupe NO,29.8,34.9,40.9,130.3
Greg Zuerlein NYJ,Greg Zuerlein NYJ,30.5,34.8,38.1,129.4
Evan McPherson CIN,Evan McPherson CIN,27.8,32.2,45.3,128.6
Tyler Bass BUF,Tyler Bass BUF,27.6,33.8,45.6,128.4
Cairo Santos CHI,Cairo Santos CHI,30,33.6,38.2,128.1
Jake Moody SF,Jake Moody SF,26.7,31.5,47.8,127.9
Matt Gay IND,Matt Gay IND,29.5,34.5,39.2,127.5
Jason Sanders MIA,Jason Sanders MIA,27.2,32.2,44.7,126.2
Chase McLaughlin TB,Chase McLaughlin TB,28.5,32.2,38.5,124
Dustin Hopkins CLE,Dustin Hopkins CLE,28.3,32.6,37,121.8
Matt Prater ARI,Matt Prater ARI,28.9,33.6,35.2,121.8
Cam Little JAC,Cam Little JAC,28.2,33.9,36.8,121.3
Jake Bates DET,Jake Bates DET,25.6,30.5,44.3,121
Joshua Karty LAR,Joshua Karty LAR,27.5,33.5,38.1,120.5
Nick Folk TEN,Nick Folk TEN,27.7,30.6,32.1,115.3
Chris Boswell PIT,Chris Boswell PIT,27.5,31.6,32.4,114.9
Wil Lutz DEN,Wil Lutz DEN,27.1,32.3,32.2,113.4
Daniel Carlson LV,Daniel Carlson LV,26.9,30.6,31.9,112.6
Will Reichard MIN,Will Reichard MIN,25.5,30.6,31.9,108.6
Eddy Pineiro CAR,Eddy Pineiro CAR,25.9,30.6,29.9,107.7
Graham Gano NYG,Graham Gano NYG,25,30,29.7,104.6
Chad Ryland NE,Chad Ryland NE,22.8,29.3,27.3,95.8
Anders Carlson GB,Anders Carlson GB,21.7,27.2,26.8,91.7
Riley Patterson WAS,Riley Patterson WAS,21.7,27.3,24.5,89.5
Greg Joseph GB,Greg Joseph GB,19,28,22,79
