PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christian McCaffrey,SF,273,1290,11.6,69.9,567.4,4.8,1.7,281
Breece Hall,NYJ,249.3,1128,8.1,66.8,529,3.8,1.4,234.3
Bijan Robinson,ATL,240.6,1100.7,7.3,65.7,536.4,4.3,2.2,229.2
Jonathan Taylor,IND,283.3,1269.2,10.1,37.2,278.9,1.6,1.4,222.1
Saquon Barkley,PHI,269.4,1139.3,9.1,48.3,347.4,3,1.7,218
Kyren Williams,LAR,254.4,1147.8,10.2,35.5,259.2,2,1.7,210.4
Derrick Henry,BAL,266.5,1193.3,11.1,24.4,195.7,0.9,1,209
Isiah Pacheco,KC,238.6,1065.8,8.5,41,274,2,1.4,194.3
Jahmyr Gibbs,DET,202.6,941.3,8.4,54.6,390,2.2,1.4,194.1
Travis Etienne Jr.,JAC,250,1024.2,8.2,46.1,357.9,1.2,1.3,191.8
James Cook,BUF,237.8,1054,5.2,45.1,383,2.8,1.4,189.1
Josh Jacobs,GB,249.4,1034.5,8.3,38.5,293.2,1.1,1,186.9
Joe Mixon,HOU,247,968.7,7.6,40,303.6,2.2,0.9,184.1
De'Von Achane,MIA,174.9,906.1,7.2,45.5,347.8,2.9,0.9,184.1
Rachaad White,TB,239,926.1,6.6,53.5,403.9,2.4,1.7,183.5
Kenneth Walker III,SEA,238.3,996.7,8.9,29.1,225.1,1,0.9,180.1
Alvin Kamara,NO,203.4,798.7,5.3,68.1,480.9,2.3,0.9,171.5
David Montgomery,DET,202.8,893.3,9.8,22.4,168,0.8,0.9,168.1
Najee Harris,PIT,241.4,962.9,6.7,29,182.8,1.2,1,159.8
Aaron Jones,MIN,185.8,856.8,5.4,43.3,317.9,2,1,159.6
Zamir White,LV,235.1,988.4,5.7,32.9,230.5,0.8,1.3,158.5
James Conner,ARI,201.6,883.1,6.7,32.6,222.6,1.4,0.9,157.2
Rhamondre Stevenson,NE,213.7,885.8,5.7,41.6,284.9,0.8,1,154.5
Raheem Mostert,MIA,168.6,803.1,8.4,25,175.6,1.3,1,154.4
D'Andre Swift,CHI,178.3,810.4,5.2,36.1,248.5,1.6,1,144.4
Tony Pollard,TEN,190.2,821.2,5.6,33.9,233.9,0.8,0.9,142.3
Brian Robinson Jr.,WAS,184.6,774.1,5.3,28.8,243.8,1.8,1.5,141.4
Javonte Williams,DEN,197.3,811.6,4.6,40.3,241.4,1.5,0.9,140.1
Devin Singletary,NYG,196.3,848.1,5,33,213.6,0.7,1,138.3
Gus Edwards,LAC,186,794.5,7.1,15.2,131.9,0.4,1.3,134.6
Zack Moss,CIN,168.5,730.8,5.8,28.2,196,1.4,0.5,134.6
Jaylen Warren,PIT,145.5,697.7,3.9,48.3,330.2,1.7,1.4,134
Ezekiel Elliott,DAL,172.7,670.9,5.7,29.8,197.9,1.3,1,127.4
Nick Chubb,CLE,160.1,766.2,5.4,18.5,146.5,0.6,0.9,125.7
Tyjae Spears,TEN,142.8,623.9,3.6,43.3,337.2,1.5,0.9,125.1
Chase Brown,CIN,140.1,609.8,4,36.9,301.1,1.9,0.6,124.9
Austin Ekeler,WAS,124.1,516.6,4.1,46.4,371.5,2,1.7,122.2
Jonathon Brooks,CAR,161.3,702.5,4.6,23.7,182.4,0.9,1.6,118.5
Jerome Ford,CLE,147.8,580.6,3.6,30.6,218.2,1.8,0.8,110.9
J.K. Dobbins,LAC,134,565.7,3.9,23.9,180.4,1.5,0.9,105.1
Ty Chandler,MIN,145.5,595.1,4.3,20.7,151.9,0.6,0.8,102.8
Tyler Allgeier,ATL,134.8,556.4,3.9,21.3,169.9,1.2,0.8,101.3
Rico Dowdle,DAL,145,551.4,3.7,22.4,173.4,1.3,0.4,101.3
Chuba Hubbard,CAR,139.9,563.1,3.6,25.6,177.1,0.5,0.9,97.1
Blake Corum,LAR,130.6,548.5,4.2,19.5,151.7,0.7,1.5,96.7
Khalil Herbert,CHI,147.9,597,3.4,16.6,114.6,0.9,0.8,95
Trey Benson,ARI,130.8,567.1,3.9,17.9,131.2,0.8,1.5,94.9
Zach Charbonnet,SEA,115.3,498.9,3,32.8,222.4,0.8,0.8,93.6
Antonio Gibson,NE,116.2,443.3,2.3,37.7,283.7,1.2,1.4,91.1
Jaleel McLaughlin,DEN,97.5,470.4,2.6,28.3,183.1,1,0.8,85.2
MarShawn Lloyd,GB,102.2,405.3,3.2,16.4,130.8,1,1.1,76.5
Alexander Mattison,LV,113.7,421.1,2.6,13.5,89.6,1,0.9,70.5
Kendre Miller,NO,83.8,342.8,2.4,21.3,169.8,1,0.8,70.2
Ray Davis,BUF,88,380.1,2.9,16.1,132.5,0.6,1.2,69.6
Braelon Allen,NYJ,99.8,396.7,2.9,11,85.9,0.7,0.8,68.5
Bucky Irving,TB,96.6,367.9,2.5,15.1,121.1,0.7,1.4,65.4
Clyde Edwards-Helaire,KC,76,297.9,1.9,19.6,165,1.3,0.5,64.4
Tyrone Tracy Jr.,NYG,92.5,365.9,2.4,14.2,104.7,0.7,1.1,63.8
Jamaal Williams,NO,101.2,382.3,2.8,15,84.5,0.2,0.5,63.5
Elijah Mitchell,SF,94.9,391.5,3.1,9.2,59.4,0.2,0.7,63.3
Miles Sanders,CAR,105.8,381,1.8,16.2,101.3,0.2,1.2,57.9
Tank Bigsby,JAC,101.5,331.6,3.4,8.2,56.4,0.2,2.2,55.8
Dameon Pierce,HOU,83,336,2.3,9.9,72.4,0.2,0.5,54.8
D'Onta Foreman,CLE,71.1,298.6,2.3,8.5,68.4,0.6,0.1,54
Jaylen Wright,MIA,57.7,266.2,2.2,11.5,95.8,0.7,0.8,52.1
Roschon Johnson,CHI,67.7,265.4,2,17.1,114.9,0.4,0.8,51.3
Keaton Mitchell,BAL,63.3,297.8,2,10.5,85.4,0.3,0.7,50.4
Kenneth Gainwell,PHI,62.1,245.9,1.8,16.7,117.7,0.4,1.2,47.5
AJ Dillon,GB,64,261.2,2,10.5,90,0.1,0.4,47
Carson Steele,KC,64,195,1.5,17,151,0.5,0.5,45.6
Justice Hill,BAL,57.8,230.9,1.6,14.5,107.2,0.5,0.8,44.6
Kimani Vidal,LAC,44.1,239,1.6,12.7,89,0.3,0.1,44
Samaje Perine,DEN,42,179.8,1.1,20.1,155.2,0.6,1.1,41.4
Audric Estime,DEN,56.6,238.5,1.6,8.7,63.9,0.4,1.1,39.9
Eric Gray,NYG,39.6,207.1,1.4,10.8,73.8,0.2,0.1,37.7
Chase Edmonds,TB,55.5,199.4,1.2,13.7,95.4,0.2,0.1,37.4
Will Shipley,PHI,36.3,191.2,1.6,7.4,55.6,0.4,0.1,36.4
Trey Sermon,IND,44.4,228.5,1.2,6.5,44.5,0.1,0.1,35
Emari Demercado,ARI,31.9,141.6,1.1,16.2,107.1,0.4,0.5,33.2
Isaiah Davis,NYJ,65.3,192.8,1.4,6.5,46.9,0.2,0.1,33.1
Deneric Prince,KC,22.5,182.4,1.3,7.2,53.3,0.1,0,31.8
Dylan Laube,LV,26.4,158,1.1,10.5,75.4,0.2,0.1,31
Jordan Mason,SF,33.1,182.9,1.6,4.2,29,0.1,0,30.9
Evan Hull,IND,34.5,155.4,1,9,64.3,0.5,0.1,30.8
Ty Johnson,BUF,27.1,129.9,0.9,11.1,93.3,0.6,0.2,30.7
Royce Freeman,DAL,56.5,169.9,1.4,5.9,40,0.2,0.1,30
Isaac Guerendo,SF,29.9,167.3,1.3,5.2,43,0.1,0,29.2
Kendall Milton,PHI,34,145,2,2,25,0,0,29
Jase McClellan,ATL,32.9,133.9,1,5.5,43.9,0.4,0,26.2
Rasheen Ali,BAL,26.4,149,1.2,4.6,35.9,0.1,0,25.9
Cordarrelle Patterson,PIT,26.8,120.9,0.9,7.9,60.1,0.2,0.1,24.7
Deuce Vaughn,DAL,25,105.3,0.9,8.4,63,0.4,0.4,23.9
Chris Rodriguez Jr.,WAS,14.4,119.9,0.9,7.1,50.5,0.2,0.1,23.3
Kyle Juszczyk,SF,5.6,20.2,0.1,14.2,136.7,1.1,0,22.8
Jawhar Jordan,HOU,0,134,1,4,30,0,0,22.4
Michael Carter,ARI,25.9,113.9,0.8,8.3,54.2,0.1,0.1,22.1
DeWayne McBride,MIN,0,125,1,4,30,0,0,21.5
Daijun Edwards,PIT,31,132,1,2,21,0,0,21.3
Ameer Abdullah,LV,26.8,102.7,0.2,11.8,86.5,0.2,0.1,21.1
Andrew Beck,HOU,3.7,9.5,0.7,9.9,87.8,1.5,1.5,19.7
Blake Watson,DEN,0,108,1,4,29,0,0,19.7
Nyheim Hines,CLE,22.9,71.3,0.5,10.8,80.9,0.2,0.1,19.6
Ronnie Rivers,LAR,27.2,109.3,0.7,4.6,33.3,0.1,0,18.9
D'Ernest Johnson,JAC,31.7,113.6,0.5,5.5,39.2,0.1,0.1,18.9
Craig Reynolds,DET,21.6,102.5,0.8,4.1,33.4,0.1,0.1,18.7
Kevin Harris,NE,6,99.8,0.8,4.6,33.8,0,0,18.1
Isaiah Spiller,LAC,30.7,99.8,0.7,4.8,30.1,0.1,0,18
Nick Bawden,HOU,5.4,17.5,2.1,2.5,21,0.1,0,16.8
Hunter Luepke,DAL,8.7,31.2,1.4,5.7,39.5,0.2,0,16.6
Pierre Strong Jr.,CLE,19.2,103.4,0.7,2.7,19.9,0,0,16.6
Trayveon Williams,CIN,24.5,84.2,0.5,5.5,36.1,0.2,0.1,15.9
Jeremy McNichols,WAS,14.1,56.8,0,8,65.1,0.5,0,15.4
Kenny McIntosh,SEA,27.6,82.6,0.4,5.1,36.5,0.2,0.1,15.2
Jeff Wilson Jr.,MIA,15.6,86.5,0.7,3,21.7,0.1,0,15.2
Jordan Mims,NO,0,68,1,3,18,0,0,14.6
Dare Ogunbowale,HOU,16.7,60.3,0.2,8.1,59.4,0.2,0.1,14.2
Emani Bailey,KC,29,87.5,0.5,2.5,23,0,0,14.1
Emanuel Wilson,GB,2.2,70.5,0.5,4.1,29.9,0.1,0,13.5
Cam Akers,HOU,11.6,79.5,0.6,2.5,17.8,0.1,0,13.5
Julius Chestnut,TEN,14.8,62.1,0.4,5.3,37.6,0.2,0.2,13
Cody Schrader,SF,33,84.5,0.5,1.5,14.5,0,0,12.9
Jaret Patterson,LAC,16.7,71,0.4,4,27.5,0.1,0.1,12.7
Joshua Kelley,NYG,2.2,71.2,0.5,3.5,24,0,0,12.5
Tyler Goodson,IND,2.4,61.4,0.5,4,28.7,0.1,0,12.4
Carlos Washington Jr.,ATL,0,37,1,4,22,0,0,11.9
Boston Scott,LAR,2.3,54.3,0.6,2.5,19.2,0.1,0,11.2
Israel Abanikanda,NYJ,17.2,63.6,0.3,2.7,18.9,0.1,0.1,10.8
Chris Evans,CIN,10.2,40.8,0.2,6.8,48,0.1,0,10.5
JaMycal Hasty,NE,15.7,52,0.2,4.5,31.2,0.1,0.1,10.4
Matt Breida,SF,2.5,45.5,0.5,2.5,18.5,0.1,0,9.9
Keaontay Ingram,KC,15.4,51.8,0.3,2.9,18.6,0.1,0,9.2
Louis Rees-Zammit,KC,10.9,45.3,0.4,2.2,15.3,0.1,0.1,8.7
Raheem Blackshear,CAR,6.1,35.8,0.2,4.5,33.5,0,0,7.9
Dante Miller,NYG,7.1,29.3,0.2,4.2,28.1,0.2,0.1,7.9
Alec Ingold,MIA,1.1,4.4,0,7.6,55.3,0.3,0.1,7.7
Sean Tucker,TB,10,38.8,0.2,2.8,20.5,0.1,0,7.7
