PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Rob Gronkowski,NE,80,1113,10.4,0.3,173.4
Greg Olsen,CAR,75.2,960.2,6.7,0.6,134.8
Jordan Reed,WAS,86.4,893.9,7.3,1.2,130.8
Delanie Walker,TEN,72.8,850.9,5.5,0.3,117.3
Travis Kelce,KC,72.3,848.2,5.8,1.4,117.1
Gary Barnidge,CLE,62.9,745.8,5.6,0.3,107.4
Coby Fleener,NO,71.6,762.4,5.3,0.4,107.4
Antonio Gates,SD,63.8,698.3,5.8,0.3,104.4
Zach Ertz,PHI,70.8,804,4,0.7,103.2
Martellus Bennett,NE,57.2,668,5.4,0.2,99
Jimmy Graham,SEA,55.9,686.4,5.2,0.6,98.6
Jason Witten,DAL,68.1,707.5,4.4,0.6,96.2
Julius Thomas,JAC,56.1,598.8,5.8,0.2,94.1
Tyler Eifert,CIN,49.2,593.6,5.2,0.2,90.2
Dwayne Allen,IND,53.3,570.5,5.4,0.3,88.9
Zach Miller,CHI,53.6,600.4,4.8,0.3,88.3
Eric Ebron,DET,53.3,579.8,4.7,0.2,85.8
Charles Clay,BUF,55.6,585.4,3.8,0.2,80.6
Jordan Cameron,MIA,44.7,539.2,3.4,0.2,73.8
Jared Cook,GB,41.3,514,3.9,0.5,73.8
Kyle Rudolph,MIN,47.8,503.3,3.6,0.2,71.7
Clive Walford,OAK,44.3,471.2,4,0.2,70.9
Austin Seferian-Jenkins,TB,32.3,430,4,0.4,66.4
Ladarius Green,PIT,34.7,429.8,3.4,0.1,62.8
Will Tye,NYG,41.5,451.6,3.1,1.2,61.6
Jacob Tamme,ATL,43.9,466,2.2,0.2,59.4
Richard Rodgers,GB,33.7,344.7,3.8,0.2,56.7
Vance McDonald,SF,38.7,406.7,2.6,0.5,55.1
Crockett Gillmore,BAL,32.1,368.7,3.1,0.2,54.9
Cameron Brate,TB,29,342,3,0.2,52
Lance Kendricks,LA,34,341.9,2.6,0.2,49.2
Jace Amaro,NYJ,30.9,323.1,2.7,0.2,48
Virgil Green,DEN,33,326,2.6,0.2,47.5
Garrett Celek,SF,27.6,316.7,2.5,0.1,46.5
Ryan Griffin,HOU,30.1,309.7,2.5,0.2,45.4
Larry Donnell,NYG,28.5,307.5,2.7,1,44.8
Luke Willson,SEA,25.1,304.2,2.2,0.1,43.5
Darren Fells,ARI,24.4,302.3,2.2,0.1,42.9
Jesse James,PIT,28.6,289.4,2.2,0.2,41.9
Josh Hill,NO,26.2,283.6,2.2,0.1,41.5
Mychal Rivera,OAK,27.3,289.9,2,0.2,40.9
Jeff Heuerman,DEN,26.8,273,2.2,0.2,40.3
Hunter Henry,SD,26.2,274.6,2,0.5,38.5
Brent Celek,PHI,23.1,287.2,1.6,0.2,38
Jermaine Gresham,ARI,22.9,249.2,1.8,0.1,35.5
Tyler Kroft,CIN,22.7,237.8,2,0.2,35.5
Maxx Williams,BAL,25.4,262.6,1.5,0.2,35
Jack Doyle,IND,23.1,234.3,1.9,0.2,34.5
Gavin Escobar,DAL,18,210.1,2.1,1.2,31.3
Marcedes Lewis,JAC,18.1,216.2,1.4,0.1,29.7
Tyler Higbee,LA,20.9,215.9,1.3,0.1,29.1
Austin Hooper,ATL,21.5,218.5,1.3,0.5,28.9
Anthony Fasano,TEN,15.8,194.8,1.6,0,28.8
Dion Sims,MIA,19.4,188.7,1.4,0.6,26.1
C.J. Fiedorowicz,HOU,18.7,185.3,1.5,0.8,25.8
Ed Dickson,CAR,17.5,177.3,1.4,0.1,25.7
Ryan Hewitt,CIN,17.8,184,1.2,0.1,25.1
Vernon Davis,WAS,12.1,181.9,1.1,0.1,24.4
Chris Gragg,BUF,14.3,171.7,1.2,0,24.2
Tony Moeaki,CHI,9.3,160.3,1.3,0.1,23.8
Jim Dray,BUF,15.5,163.9,1.2,0.1,23.6
Cory Harkey,LA,20,185.1,0.8,0.2,23.2
Jake Stoneburner,FA,4,111.3,2,0,23.1
James O'Shaughnessy,KC,15.1,148.3,1.2,0.1,21.8
Niles Paul,WAS,15.6,164.2,0.6,0,20
Blake Bell,SF,14.3,156.9,0.7,0.1,19.5
Craig Stevens,FA,11.1,107.7,1.4,0,19.3
Lee Smith,OAK,13.3,129.6,1,0.1,18.7
Rhett Ellison,MIN,10.8,103,1.1,0.1,16.7
MyCole Pruitt,MIN,12.5,126.9,0.6,0,16.4
Gerald Christian,FA,0,103,1,0,16.3
Bruce Miller,SF,11.1,119,0.7,0,16.1
James Hanna,DAL,10.4,110.8,0.9,0.1,16
Brandon Pettigrew,DET,10.6,107.6,0.8,0.1,15.4
Kellen Davis,NYJ,10.5,101.2,0.9,0.1,15.2
Dennis Pitta,BAL,11.9,108.2,0.7,0.1,14.5
Rob Housler,CHI,8.1,108.8,0.6,0,14.4
Garrett Graham,DEN,3.1,101.5,0.5,0,13.4
Levine Toilolo,ATL,6.6,102.3,0.5,0,13.3
