Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
Aaron Burbridge,0,0,0,2,20,0,0,0,0,0,0,0,0,0,1,SFO,wr
Aaron Ripkowski,16,72,0,4,12,0,0,0,0,0,0,0,0,0,0,GNB,fb
Aaron Rodgers,40,259,3,0,0,0,259,410,2761,25,7,0,0,0,7,GNB,qb
Adam Humphries,3,15,0,39,430,1,0,0,0,0,0,0,0,0,2,TAM,wr
Adam Thielen,1,11,0,37,518,3,0,0,0,0,0,0,0,0,1,MIN,wr
Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,0,21,20,27,0,IND,k
Adrian Peterson,31,50,0,2,7,0,0,0,0,0,0,0,0,0,0,MIN,rb
A.J. Derby,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,2TM,
A.J. Green,0,0,0,66,964,4,0,0,0,0,0,0,0,0,0,CIN,wr
Akeem Hunt,13,50,0,1,1,0,0,0,0,0,0,0,0,0,0,HOU,
Alan Cross,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,TAM,
Albert Wilson,1,-5,0,23,180,2,0,0,0,0,0,0,0,0,0,KAN,wr
Aldrick Robinson,0,0,0,8,101,1,0,0,0,0,0,0,0,0,0,ATL,
Alex Collins,10,19,1,3,28,0,0,0,0,0,0,0,0,0,1,SEA,
Alex Erickson,0,0,0,2,27,0,0,0,0,0,0,0,0,0,1,CIN,
Alex Smith,25,54,2,0,0,0,203,302,2077,9,4,0,0,0,4,KAN,qb
Alfred Blue,46,225,0,1,4,0,0,0,0,0,0,0,0,0,1,HOU,
Alfred Morris,59,208,2,2,8,0,0,0,0,0,0,0,0,0,0,DAL,
Allen Hurns,0,0,0,34,465,2,0,0,0,0,0,0,0,0,1,JAX,wr
Allen Robinson,0,0,0,51,567,6,0,0,0,0,0,0,0,0,1,JAX,wr
Alshon Jeffery,0,0,0,40,630,1,0,0,0,0,0,0,0,0,0,CHI,wr
Amari Cooper,0,0,0,62,900,3,0,0,0,0,0,0,0,0,2,OAK,wr
Ameer Abdullah,18,101,0,5,57,1,0,0,0,0,0,0,0,0,0,DET,rb
Andre Ellington,22,73,0,6,39,0,0,0,0,0,0,0,0,0,0,ARI,
Andre Holmes,0,0,0,10,70,2,0,0,0,0,0,0,0,0,0,OAK,wr
Andre Johnson,0,0,0,9,85,2,0,0,0,0,0,0,0,0,0,TEN,wr
Andre Roberts,0,0,0,7,120,1,0,0,0,0,0,0,0,0,1,DET,
