PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Antonio Brown,PIT,3.1,17,0,123.6,1648.8,10.8,1.1,229.1
Julio Jones,ATL,0.3,1.6,0,116.6,1623.5,8.8,0.8,214
Odell Beckham Jr.,NYG,0.8,4.8,0,98,1439.5,11.1,0.1,210.6
DeAndre Hopkins,HOU,0,0,0,100,1423.2,9.6,0.1,199.5
Dez Bryant,DAL,0,0,0,85.2,1195.1,10.1,0.1,179.6
A.J. Green,CIN,0,0.1,0,87.4,1255.3,9.3,0.9,179.3
Jordy Nelson,GB,0.1,0.4,0,87.9,1239.5,8.8,0.1,176.5
Alshon Jeffery,CHI,0.4,4.8,0,85.4,1212.7,8,0.1,169.7
Allen Robinson,JAC,0,0,0,78.8,1145.6,8.7,0.1,166.2
Mike Evans,TB,0,0,0,78.6,1194.6,7.6,0.7,163.8
T.Y. Hilton,IND,0.6,2.8,0,77.8,1187.9,7.4,0.1,163.5
Brandon Marshall,NYJ,0,0.2,0,87,1163.5,8.2,1.1,163.3
Sammy Watkins,BUF,0.8,3.2,0,73.1,1105.2,8.2,0.2,159.6
Keenan Allen,SD,0,0,0,103.2,1190.6,6.9,1.3,157.9
Brandin Cooks,NO,4.8,26.9,0.1,85.2,1079.3,7.7,0.2,156.7
Demaryius Thomas,DEN,0,0,0,86.5,1134.3,7.3,1,155.5
Randall Cobb,GB,8.1,37.3,0.1,81.7,1033.9,7.5,0.2,152
Amari Cooper,OAK,0.4,0,0,81.4,1096.3,7.3,0.8,151.6
Jeremy Maclin,KC,1.6,8.8,0,81.4,1039.9,7.1,0.7,146.5
Eric Decker,NYJ,0.1,0.2,0,76.9,1010.4,7.6,0.7,145.5
Doug Baldwin,SEA,0,0.2,0,72.8,949,8,0.2,142.6
Kelvin Benjamin,CAR,0.1,0.2,0,70.4,955.2,8.1,0.7,142.6
Golden Tate,DET,4.7,29.7,0,90.2,1046.4,5.5,0.7,139.7
Jarvis Landry,MIA,9.2,46.8,0.1,96,1010.5,5.7,0.8,138.9
Michael Floyd,ARI,0,0.1,0,62.6,958.6,7.2,0.2,138.5
Julian Edelman,NE,4.1,25,0,89.4,971.7,6.7,1,138
Larry Fitzgerald,ARI,0,0,0,83.4,980.7,6.8,1.1,136.6
Jordan Matthews,PHI,0,0,0,78.6,964.6,6.6,0.7,134.7
DeSean Jackson,WAS,1.4,7.1,0,61,967.3,6.2,0.8,133
Emmanuel Sanders,DEN,2.7,17,0,69.9,964.9,5.6,1,130.1
Donte Moncrief,IND,0.1,0.8,0,67,890.9,6.4,0.2,127.5
John Brown,ARI,1.8,11.3,0,61.7,904.7,6.2,0.8,127
Allen Hurns,JAC,0,0,0,60.1,870,6.4,0.7,124
Devante Parker,MIA,0.1,0.2,0,59,860.9,6,0.1,121.8
Michael Crabtree,OAK,1,5.5,0,73.7,826.4,6.2,0.1,120.5
Torrey Smith,SF,0,0,0,55.4,874.4,5.2,0.1,118.4
Stefon Diggs,MIN,1.4,7.4,0,63.7,827.8,5.5,0.1,116.3
Marvin Jones,DET,0.6,2.5,0,63.9,834.5,5,0.1,113.8
Kevin White,CHI,0,0,0,56.1,790.7,5.2,0.2,110
Tyler Lockett,SEA,3.3,19.4,0,58,760.5,5.4,0.9,108.8
Vincent Jackson,TB,0,0,0,53.4,786.9,4.7,0.2,106.2
Willie Snead,NO,0,0,0,63.3,817.5,4.6,1.7,105.8
Sterling Shepard,NYG,0,0,0,58,747.5,4.9,0.8,102.4
Steve Smith,BAL,0,0,0,55.8,744.9,4.4,0.3,100.6
Markus Wheaton,PIT,2,11.1,0,52.8,722.9,4.7,0.7,100.4
Tavon Austin,LA,27.8,183.5,1.4,51.2,524.6,3.3,1.1,97
Corey Coleman,CLE,1,5.8,0,55.8,728.3,4,0.6,96.1
Terrance Williams,DAL,0,0,0,42.5,663.6,4.7,0.2,94.1
Josh Gordon,CLE,0,0,0,50.5,713,3.7,0.2,93.3
Travis Benjamin,SD,0.3,1.6,0,49.3,692,4.2,0.9,92.7
Mohamed Sanu,ATL,1.8,11.2,0.1,53.2,651.3,3.8,0.2,89.2
Dorial Green-Beckham,PHI,1.1,6.5,0,42.6,618.9,4.3,0.2,88.4
Pierre Garcon,WAS,0,0,0,55,649.7,3.8,0.2,87.7
Kamar Aiken,BAL,0,0,0,51,651.8,3.8,0.8,86.3
Michael Thomas,NO,0,0,0,46,617.3,4.2,0.9,85.1
Laquon Treadwell,MIN,0.1,0.2,0,47.4,624.5,3.8,0.2,84.6
Sammie Coates,PIT,0.3,2,0,46.5,616.2,3.8,0.2,84
Phillip Dorsett,IND,3,16.3,0,46.8,602.4,3.8,1.1,83
Kenny Britt,LA,0,0.1,0,39.7,611,3.6,0.2,82.4
Mike Wallace,BAL,0.8,4.5,0,42.1,570.8,3.8,0.1,80.5
Devin Funchess,CAR,1.2,7,0,40.6,546.7,4.2,0.9,78.7
Kendall Wright,TEN,0.2,0.8,0,50.2,582.5,3.2,0.2,77.1
Nelson Agholor,PHI,0,0,0,45.3,583.3,3.3,1.1,76
Jermaine Kearse,SEA,0.1,0.4,0,39.6,532.8,3.7,0.2,75.4
Will Fuller,HOU,1.1,6.8,0,37.4,531.4,3.3,0.2,73.4
Robert Woods,BUF,0.6,3.3,0,45,551.2,3.1,0.9,72.3
Ted Ginn,CAR,1.9,13.6,0,31.9,468.5,3.8,0.2,70.5
Jaelen Strong,HOU,0,0,0,37.2,469.8,3.9,0.1,69.9
Justin Hunter,TEN,0,0,0,41.4,533.4,2.8,0.1,69.8
Rishard Matthews,TEN,0.4,1.3,0,39.8,523.1,2.9,0.2,69.3
Brandon LaFell,CIN,0.5,0.7,0,40.7,528.9,2.8,0.6,68.6
Tyler Boyd,CIN,3.8,22.9,0.1,39.8,506.7,2.7,0.8,67.9
Breshad Perriman,BAL,0,0,0,35.8,489.6,2.9,0.2,65.6
Anquan Boldin,DET,0,0,0,40.8,484.1,3,1.2,64.1
Chris Hogan,NE,0.9,4.6,0,38.2,447.4,3,0.8,62.1
Jamison Crowder,WAS,0.7,3.5,0,43.8,475.7,2.4,0.8,61
Cole Beasley,DAL,0,0,0,41.1,448.5,3.2,1.7,60.4
Victor Cruz,NYG,0,0,0,33.7,450.5,2.6,0.2,60.4
Josh Doctson,WAS,0,0,0,33,431.7,3,0.6,59.6
Rueben Randle,PHI,0,0,0,33.6,434.1,2.5,0.2,58.3
Bruce Ellington,SF,1.2,6.4,0,40.4,453,2.3,1.1,57.7
Kenny Stills,MIA,0,0.3,0,31,437.4,2.3,0.1,57.5
Eddie Royal,CHI,0.5,1.4,0,41.2,441.4,2.3,0.6,57
Cecil Shorts,HOU,1.2,4.6,0,39.9,454.4,2.1,1,56.5
Davante Adams,GB,0,0,0,33.5,385.5,2.9,0.2,55.6
Jarius Wright,MIN,0.3,2.6,0,33.8,433.5,2.3,0.8,55.6
Danny Amendola,NE,0.8,3.9,0,39.7,412.8,2.6,0.8,55.4
Seth Roberts,OAK,0,0,0,29.1,383.3,2.8,0.1,54.6
