PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,98.7,1252.1,9.4,0.6,180.5
George Kittle,SF,84.5,1156.6,6.4,0.4,153.5
Zach Ertz,PHI,91.3,968.0,7.2,0.5,138.7
O.J. Howard,TB,56.7,812.8,6.4,0.5,118.7
Evan Engram,NYG,67.7,807.4,5.3,0.5,111.4
Jared Cook,NO,60.9,764.5,5.9,0.4,111.2
Hunter Henry,LAC,55.3,705.6,6.1,0.5,106.4
Vance McDonald,PIT,58.5,670.5,4.9,0.5,95.2
Eric Ebron,IND,51.5,582.5,6.1,0.4,94
David Njoku,CLE,54.1,638.9,4.9,0.4,92.3
Jordan Reed,WAS,63.4,641.3,3.8,0.5,86
Delanie Walker,TEN,56.1,620.2,4.1,0.5,85.5
Mark Andrews,BAL,46,606.3,4.1,0.1,85
Austin Hooper,ATL,61.4,597.8,4.3,0.4,84.7
Jimmy Graham,GB,51.7,556.9,4.1,0.4,79.5
Greg Olsen,CAR,45.1,527.9,4.4,0.1,79
Trey Burton,CHI,48.4,527.2,4.3,0.5,77.7
Kyle Rudolph,MIN,52.6,513.5,4.3,0.4,76.6
Jack Doyle,IND,54,506.4,4.1,0.8,73.6
Noah Fant,DEN,45.9,515.0,3.6,0.6,71.8
T.J. Hockenson,DET,48.2,506.7,3.7,1.1,70.4
Tyler Eifert,CIN,42.9,476.9,3.6,0.1,69.1
Jason Witten,DAL,45.6,446.7,3.4,0.4,64.2
Chris Herndon IV,NYJ,33.9,416.8,3.5,0.1,62.4
Dallas Goedert,PHI,34.4,357.2,4,0.1,59.5
Darren Waller,OAK,37.5,409.4,3,0.4,58
Will Dissly,SEA,25.1,330.4,3.1,0.1,51.4
Cameron Brate,TB,27.5,293.3,3.1,0.4,47.3
Vernon Davis,WAS,27.3,344.8,2.1,0.1,47
Mike Gesicki,MIA,35,353.3,2.2,0.8,46.9
Gerald Everett,LAR,27.7,301.0,2.6,0.1,45.7
Geoff Swaim,JAC,32.9,327.8,2,0.1,44.8
Benjamin Watson,NE,27.5,317.0,2.2,0.1,44.5
Jace Sternberger,GB,26.9,285.6,2.2,0.6,40.6
Ian Thomas,CAR,26.3,267.4,2,0,38.9
Jordan Thomas,HOU,23,252.3,2.2,0.1,38.2
Ricky Seals-Jones,ARI,23,257.1,1.8,0,36.8
Matt LaCosse,NE,24.4,268.4,1.5,0.1,35.9
Josh Oliver,JAC,25.9,280.3,1.5,0.6,35.9
Hayden Hurst,BAL,20.5,245.9,1.9,0.1,35.7
Blake Jarwin,DAL,21.8,233.6,1.8,0,34.3
Tyler Higbee,LAR,21.2,240.0,1.7,0,34.1
C.J. Uzomah,CIN,23.3,239.9,1.5,0,32.8
Jesse James,DET,21.9,228.1,1.6,0,32.3
Charles Clay,ARI,24.7,237.3,1.5,0.4,32.1
Irv Smith Jr.,MIN,21.2,218.2,1.7,0.6,30.8
Mo Alie-Cox,IND,14.9,194.0,1.8,0.1,29.9
Adam Shaheen,CHI,19.5,198.0,1.7,0,29.8
Jeff Heuerman,DEN,21,204.0,1.6,0,29.8
Nick Vannett,SEA,21,202.1,1.6,0,29.5
Tyler Kroft,BUF,19.2,200.5,1.4,0.1,28.1
Rhett Ellison,NYG,18.1,191.5,1.2,0,26.6
Dawson Knox,BUF,17.3,200.1,1.1,0.1,26.5
Jason Croom,BUF,16.7,196.8,1.1,0.7,25.2
Kahale Warring,HOU,17.3,184.9,1.3,0.5,24.9
Jonnu Smith,TEN,16.5,177.8,1.2,0,24.7
James O'Shaughnessy,JAC,18.1,181.7,1.1,0,24.5
Jordan Akins,HOU,14.4,169.9,1,0,22.7
Virgil Green,LAC,15,160.8,1.2,0.5,22.5
Demetrius Harris,CLE,11,125.9,1.4,0,21.2
Jacob Hollister,SEA,12.8,141.8,1.1,0.1,20.4
Drew Sample,CIN,14.5,141.2,1.2,0.5,20.3
Tanner Hudson,TB,12,142.0,1,0,20.2
Jake Butt,DEN,13,135.2,1.1,0.1,19.9
Nick O'Leary,MIA,10.8,138.4,0.9,0.1,19.4
Ed Dickson,SEA,11.3,122.3,1.1,0,18.7
Jakob Johnson,NE,12,125.0,1,0,18.5
Dwayne Allen,MIA,14.9,129.0,0.9,0,18.3
Xavier Grimble,PIT,11.2,131.9,1,0.6,17.8
Josh Hill,NO,12.8,127.6,1,0.5,17.8
Maxx Williams,ARI,14.7,130.7,0.8,0.1,17.7
Ryan Griffin,NYJ,11.8,124.7,0.8,0,17.2
Logan Paulsen,ATL,9.7,104.9,1,0,16.6
Levine Toilolo,SF,9.7,112.0,0.8,0,16
Anthony Firkser,TEN,9.3,108.7,0.9,0,16
Eric Tomlinson,NYJ,10.9,101.1,0.7,0,14.2
Luke Stocker,ATL,6.9,76.0,1.1,0,14.2
Foster Moreau,OAK,9.7,98.0,0.7,0,14.1
Derek Carrier,OAK,8.1,82.1,1,0,14
Nick Boyle,BAL,10.5,100.9,0.6,0,13.4
Robert Tonyan,GB,6.5,97.3,0.6,0,13.4
Blake Bell,KC,8.5,88.1,0.8,0,13.3
Garrett Celek,SF,6.3,80.6,0.9,0,13.3
Zach Gentry,PIT,8.6,91.1,0.7,0,13
Luke Willson,OAK,11.7,102.2,0.4,0,12.9
MyCole Pruitt,TEN,8.1,83.3,0.8,0,12.9
Dan Arnold,NO,6.9,77.9,0.7,0,12.3
Marcedes Lewis,GB,6.6,75.6,0.7,0,12
Trevon Wesco,NYJ,7.5,81.1,0.6,0.1,11.5
Chris Manhertz,CAR,5.3,74.4,0.7,0,11.4
Tyler Conklin,NE,7.8,80.9,0.5,0,11.2
Stephen Anderson,NE,6.1,83.2,0.5,0,11.2
Garrett Griffin,NO,6,49.0,1,0,10.9
Daniel Brown,NYJ,6.9,75.6,0.5,0.1,10.6
Lance Kendricks,NE,7.7,73.0,0.6,0,10.6
Seth DeValve,CLE,6,74.4,0.5,0,10.6
Kaden Smith,SF,6.4,71.6,0.6,0,10.5
Alize Mack,NO,6.9,67.1,0.6,0,10.3
Isaac Nauta,DET,6.9,65.0,0.6,0,9.8
Darren Fells,HOU,5.3,70.4,0.4,0,9.6
Jeremy Sprinkle,WAS,5.9,61.9,0.5,0.1,9.1
Antony Auclair,TB,7.1,63.6,0.4,0,9
Dalton Schultz,DAL,7,72.6,0.3,0.1,8.7
Durham Smythe,MIA,6,64.5,0.4,0.1,8.6
Jason Vander Laan,CAR,2.4,53.3,0.5,0,8.4
Cethan Carter,CIN,5,47.1,0.6,0,8.1
Richard Rodgers,PHI,4.9,54.1,0.4,0,7.8
Jordan Franks,CIN,4.2,49.9,0.4,0,7.4
Caleb Wilson,ARI,5.3,57.7,0.1,0,6.4
Lee Smith,BUF,3.5,41.2,0.4,0,6.3
Sean Culkin,LAC,3.4,39.7,0.4,0,6.1
Deon Yelder,KC,3.7,39.3,0.3,0,5.9
Joshua Perkins,PHI,3.5,37.9,0.3,0.1,5.4
Logan Thomas,DET,2.9,24.7,0.4,0,5
Cole Wick,TEN,3.6,33.2,0.3,0,4.9
Jordan Leggett,TB,4.2,29.7,0.3,0,4.7
David Morgan,MIN,3.8,36.4,0.2,0,4.7
Scott Simonson,NYG,3.4,31.2,0.3,0,4.7
Eric Saubert,NE,3,28.7,0.3,0,4.6
Jerome Cunningham,DET,3,30.6,0.3,0,4.6
Ben Braunecker,CHI,3.3,33.7,0.2,0,4.5
Tommy Sweeney,BUF,2.9,33.0,0.2,0,4.2
Gabe Holmes,IND,2.4,24.2,0.3,0,4.1
Ross Dwelley,SF,3.1,26.5,0.2,0,4
Ross Travis,IND,2.4,19.5,0.3,0,3.9
Ben Koyack,JAC,2.4,22.4,0.3,0,3.9
Clive Walford,MIA,2.6,24.1,0.3,0,3.9
Jerell Adams,HOU,2.8,33.0,0.1,0,3.7
Rico Gathers,CLE,2.3,21.3,0.2,0,3.3
Matt Flanagan,WAS,2,20.4,0.2,0,3.3
Evan Baylis,GB,1.3,13.9,0.3,0,3.2
Ryan Izzo,MIN,1.8,20.8,0.2,0,3
A.J. Derby,NO,2,23.5,0.1,0,2.9
C.J. Conrad,NYG,1.8,19.4,0.1,0,2.6
Troy Fumagalli,DEN,1.8,18.6,0.1,0,2.4
Mason Schreck,CIN,1.7,18.6,0.1,0,2.4
Ryan Hewitt,TEN,1.5,17.1,0.1,0,2.3
Will Tye,PHI,1.2,12.4,0.1,0,2
Johnny Mundt,LAR,1.2,9.8,0.1,0,1.5
