PlayerName,Team,fg,fga,xpt,fpts
Greg Zuerlein,LAR,30,35.5,43.2,133.1
Justin Tucker,BAL,30.9,36.5,35.1,127.9
Stephen Gostkowski,NE,27.9,33.3,44.1,127.7
Wil Lutz,NO,27.4,32.8,42.2,124.3
Harrison Butker,KC,26.6,31.2,42.8,122.5
Ka'imi Fairbairn,HOU,28.4,34.5,35.7,120.9
Robbie Gould,SF,28,32.3,35.8,119.7
Michael Badgley,LAC,26.2,30,38.9,117.4
Adam Vinatieri,IND,25,30.3,40.6,115.5
Austin Seibert,CLE,25.2,30.2,39.7,115.3
Taylor Bertolet,NYJ,27.6,33,32.1,114.9
Brett Maher,DAL,26.1,32.7,35.8,114
Mason Crosby,GB,26,31.8,35,113.1
Giorgio Tavecchio,ATL,25.3,30.9,36.8,112.8
Matt Prater,DET,26.9,31.5,32,112.7
Jake Elliott,PHI,25.2,30.8,37,112.6
Graham Gano,CAR,24.9,29.8,36.4,111.1
Ryan Succop,TEN,26,31.6,33,111.1
Jason Myers,SEA,24.8,28.7,36.2,110.6
Aldrick Rosas,NYG,25.6,29.5,32,108.9
Matt Gay,TB,24.7,29.4,33.9,108
Chris Boswell,PIT,22.3,27.8,39.8,106.5
Dan Bailey,MIN,23.9,31,31.2,102.9
Eddy Pineiro,CHI,23,29.7,33.7,102.8
Greg Joseph,CLE,22.6,27.7,34.3,102.1
Josh Lambo,JAC,24.1,28.1,29.2,101.5
Daniel Carlson,OAK,23.9,28.8,29.4,101
Brandon McManus,DEN,23.3,27.8,30.3,100.3
Dustin Hopkins,WAS,23.8,28.4,28.4,99.8
Cairo Santos,TB,21.4,28.4,35.1,99.2
Steven Hauschka,BUF,23.7,28.2,28,98.9
Randy Bullock,CIN,22.8,26.7,30,98.4
Jason Sanders,MIA,22.5,25.3,28.1,95.7
Zane Gonzalez,ARI,21,26.7,28.6,91.7
Tristan Vizcaino,CIN,0,0,0,0
Sam Ficken,GB,0,0,0,0
