"Player.Name.","X.Team.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Jack Doyle","IND",5,49.5,0,0,5
"Konrad Reuland","FA",5,47,0,0,4.7
"Luke Stocker","TB",3.5,43.5,0,0,4.4
"MarQueis Gray","CLE",5.3,41.3,0,0,4.1
"Matthew Mulligan","CHI",3.8,40.5,0,0,4.1
"Darren Fells","ARI",3.8,40.5,0,0,4.1
"Zach Miller","CHI",3,39.8,0,0,4
"Mike McNeill","CAR",3,39.8,0,0,4
"Andrew Szczerba","ATL",3,32.3,0,0,3.2
"Brandon Barden","JAC",2.3,30.8,0,0,3.1
"Daniel Fells","NYG",2.3,26.3,0,0,2.6
"Emil Igwenagu","PHI",3,24.8,0,0,2.5
"Richard Gordon","KC",2.3,23.3,0,0,2.3
"Ted Bolser","WAS",2.3,12,0,0,1.2
"Richie Brockel","CAR",2.3,10.5,0,0,1.1
"Brandon Williams","ARI",1.5,9,0,0,0.9
"Brad Smelley","HOU",1.5,9,0,0,0.9
