"Player.Name.","X.Team.","rush_att.","rush_yds.","rush_tds.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Bilal Powell","NYJ",62.2,254,1.2,21.5,160.7,0.3,0,50.5
"Brandon Bolden","NE",63.4,295.6,2.1,11.5,75.1,0,0,49.7
"Jordan Todman","JAC",69.3,286.4,1,18.1,144,0.5,1.5,49
"Jerick McKinnon","MIN",45.7,204.4,1.1,22.6,177.7,0.8,0.5,48.6
"Bryce Brown","BUF",76.1,340.3,2.1,5.9,43.2,0,1.5,48
"Chris Polk","PHI",65.5,296.6,2.1,8.5,63.2,0,0.5,47.6
"Denard Robinson","JAC",56.4,257.8,1.5,13.7,115.8,0.5,1.5,46.4
"BenJarvus Green-Ellis","CIN",76.5,293,2.5,3.8,24.9,0,0.5,45.8
"Mike James","TB",67.7,298.7,1.2,8.8,59.4,0,0.5,42
"Daniel Thomas","MIA",63.6,246.6,1.8,10.5,72.9,0,0.5,41.5
"Marcus Lattimore","SF",53.3,243.4,1.7,5.1,42.2,0,0,38.8
"Alfred Blue","HOU",48.5,214.5,1.5,8.5,60.5,0,0,36.5
"Isaiah Crowell","CLE",58.1,257.4,0.6,10.3,67.6,0,0,36.3
"Jonathan Dwyer","ARI",64.3,261.5,1.1,5.9,43.1,0,0.5,36.1
"Matt Asiata","MIN",52.1,204.6,2,4.9,31.4,0,0,35.6
"Lache Seastrunk","WAS",46.5,213.6,1.4,5.4,54.5,0,0,35.1
"Robert Turbin","SEA",49.1,212.3,0.8,11.6,99.9,0,0.5,35
"Dri Archer","PIT",20.9,102.7,0.6,20,163.2,0.9,0.5,34.6
"Lorenzo Taliaferro","BAL",51.9,245.3,1,6,36.6,0,0,34.2
"Peyton Hillis","NYG",49.6,188.5,1.1,10.9,77,0,0.5,32.2
"Darrel Young","WAS",13.5,53,2,8.5,92,0.5,0,29.5
"Benny Cunningham","STL",47,210.4,0.7,5.7,44.5,0,1,27.7
"DuJuan Harris","GB",44.3,187.5,0.8,6,40.9,0,0,27.3
"Dan Herron","IND",57.8,221.3,0.8,2.3,18.8,0,0.8,27
"Theo Riddick","DET",35,142.9,1,9.6,63.1,0,0,26.6
"Jackie Battle","TEN",45.5,182.5,1,2.5,19.5,0,0,26.2
"Bobby Rainey","TB",38,157.1,0.8,7.7,51.3,0,0,25.6
"Anthony Dixon","BUF",21,86,2.5,2,16.5,0,0,25.3
"Joseph Randle","DAL",41.5,167.6,0.5,8,51.4,0,0,24.9
"De'Anthony Thomas","KC",10.8,38.7,0.3,18.8,142.1,0.5,0,22.9
"Justin Forsett","BAL",41.1,177.5,0.3,4.1,24.8,0,0,22
"John Kuhn","GB",15.4,53.8,1.1,10.3,72.6,0.4,0,21.6
"Chris Ogbonnaya","CLE",22.5,91.5,0,16.5,115.3,0.3,1,20.5
"Jed Collins","DET",7,43.5,1,10,56.5,0.5,0,19
"Anthony Sherman","KC",6.5,20.5,0.5,13,106,0.5,0,18.7
"Dennis Johnson","HOU",30.8,126.8,0.2,6.8,46.4,0,0,18.5
"Frank Summers","BUF",12,44.5,0.5,9,72.5,0.5,0,17.7
"Derrick Coleman","SEA",5.5,20.5,0.5,9.5,66,1,0,17.7
"Mikel Leshoure","DET",22.8,100.3,0.8,6.1,45.5,0,0.8,17.6
"Bruce Miller","SF",6,21.5,0.5,15.5,124,0,0,17.6
"Shaun Draughn","CHI",21.5,91.5,0.5,6,48,0,0,17
"Storm Johnson","JAC",24.4,105.4,0.4,5.3,38.6,0,0,16.7
"Erik Lorig","NO",5,19.5,0,10.5,75.5,1,0,15.5
"Michael Ford","CHI",21.5,94,0.5,3,24,0,0,14.8
"Will Johnson","PIT",2,7.5,0,11,70,1,0,13.8
"Dion Lewis","CLE",20.6,94.1,0.4,2.3,18.3,0,0,13.5
"Cyrus Gray","KC",12,55,0.5,7,48,0,0,13.3
"Kenjon Barner","CAR",21,92.5,0,5.7,38.2,0,0,13.1
"Tommy Bohanon","NYJ",8,29,0.5,10.5,70.5,0,0,13
"Kyle Juszczyk","BAL",11.8,42.8,0.4,6.4,40.3,0.4,0,12.8
"Cedric Peerman","CIN",15,70,0,7,56.5,0,0,12.7
"Chris Thompson","WAS",13.5,65.3,0,6,57.8,0,0,12.3
"Daryl Richardson","NYJ",15.8,67.4,0,7.5,62.7,0,0.5,12
"Ryan Williams","DAL",26,109,0,3,23.5,0,0.8,11.8
"Mike Gillislee","MIA",23,95.2,0,2.2,16.1,0,0,11.1
"Chris Rainey","IND",11.3,50.3,0,6.8,59.3,0,0,11
"Henry Hynoski","NYG",4,14.5,0.5,8.5,61.5,0,0,10.6
"Stanley Havili","IND",6.5,24,0,11,81.5,0,0,10.6
"Marion Grice","SD",11,51,0.5,3,22,0,0,10.3
"Edwin Baker","CLE",14.9,64.1,0.3,3.4,23.1,0,0,10.2
"Jorvorskie Lane","TB",8.5,28.5,0.5,5.5,38.5,0,0,9.7
"James Develin","NE",4.5,16,0.5,7.5,51,0,0,9.7
"Antone Smith","ATL",13.5,57.5,0.5,1,8.5,0,0,9.6
"Joe McKnight","KC",16.5,69,0,4.5,41.3,0,0.8,9.5
"Jerome Felton","MIN",5,16.5,0.5,6,47.5,0,0,9.4
"Tony Fiammetta","CHI",5.5,21.5,0.5,5,39.5,0,0,9.1
"Jeremy Stewart","OAK",11.3,50.3,0,5.3,38.3,0,0,8.9
"Tyler Gaffney","CAR",12,56,0,4,32,0,0,8.8
"Leon Washington","TEN",6,29.5,0,5.5,51.5,0,0,8.1
"Jalen Parmele","ARI",6,31.5,0,5.3,40.5,0,0,7.2
"Tyler Clutts","DAL",3,11.5,0.5,4.5,26.5,0,0,6.8
"Alvester Alexander","PIT",11.3,48.8,0,3,16.5,0,0,6.5
"Patrick DiMarco","ATL",3,11.5,0,8,51,0,0,6.3
"LaMichael James","SF",8.6,36,0,3.4,26.3,0,0,6.2
"Collin Mooney","TEN",3.5,12,0.5,3.5,20,0,0,6.2
"Johnathan Franklin","GB",8,42,0,2.5,17,0,0,5.9
"Jonathan Grimes","HOU",5.3,24.8,0,3.8,32.3,0,0,5.7
