Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
A.J. Brown,0,0,0,73,1050,7,0,0,0,0,0,0,0,0,0,PHI,wr
A.T. Perry,0,0,0,3,45,1,0,0,0,0,0,0,0,0,0,NOR,wr
Aaron Jones,66,245,2,19,169,1,0,0,0,0,0,0,0,0,2,GNB,rb
Aaron Rodgers,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NYJ,qb
Adam Prentice,1,5,0,1,5,0,0,0,0,0,0,0,0,0,1,NOR,fb
Adam Thielen,1,6,0,77,728,4,0,0,0,0,0,0,0,0,1,CAR,wr
Adam Trautman,0,0,0,16,125,2,0,0,0,0,0,0,0,0,0,DEN,te
Aidan O'Connell,6,9,1,0,0,0,113,178,1194,4,6,0,0,0,4,LVR,qb
AJ Dillon,131,448,1,19,184,0,0,0,0,0,0,0,0,0,0,GNB,rb
Alec Ingold,2,0,0,8,79,0,0,0,0,0,0,0,0,0,0,MIA,fb
Alec Pierce,0,0,0,22,291,0,0,0,0,0,0,0,0,0,0,IND,wr
Alex Armah,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,WAS,rb
Alex Erickson,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,LAC,wr
Alexander Mattison,158,594,0,27,174,3,0,0,0,0,0,0,0,0,3,MIN,rb
Allen Lazard,0,0,0,20,290,1,0,0,0,0,0,0,0,0,0,NYJ,wr
Allen Robinson II,0,0,0,23,185,0,0,0,0,0,0,0,0,0,0,PIT,wr
Alvin Kamara,119,457,2,54,355,1,0,0,0,0,0,0,0,0,0,NOR,rb
Amani Hooker,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,TEN,db
Amari Cooper,0,0,0,47,765,2,0,0,0,0,0,0,0,0,1,CLE,wr
Amari Rodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,wr
Ameer Abdullah,5,30,0,12,85,0,0,0,0,0,0,0,0,0,0,LVR,rb
Amon-Ra St. Brown,3,13,0,82,993,5,0,0,0,0,0,0,0,0,1,DET,wr
Anders Carlson,0,0,0,0,0,0,0,0,0,0,0,19,15,20,0,GNB,k
Andrei Iosivas,0,0,0,5,39,2,0,0,0,0,0,0,0,0,0,CIN,wr
Andrew Beck,5,3,1,4,14,0,0,0,0,0,0,0,0,0,1,HOU,fb
Andrew Ogletree,0,0,0,9,147,2,0,0,0,0,0,0,0,0,0,IND,te
Andy Dalton,3,12,0,0,0,0,34,58,361,2,0,0,0,0,0,CAR,qb
Anthony McFarland Jr.,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,PIT,rb
Anthony Richardson,25,136,4,0,0,0,50,84,577,3,1,0,0,0,3,IND,qb
Antoine Green,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,DET,wr
Antonio Gibson,36,158,0,33,285,2,0,0,0,0,0,0,0,0,3,WAS,rb
Ashtyn Davis,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NYJ,s
Austin Ekeler,112,428,4,29,286,1,0,0,0,0,0,0,0,0,3,LAC,rb
Austin Hooper,0,0,0,15,149,0,0,0,0,0,0,0,0,0,0,LVR,te
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NYJ,k
Austin Trammell,0,0,0,4,29,0,0,0,0,0,0,0,0,0,1,LAR,wr
Bailey Zappe,0,0,0,0,0,0,19,39,158,0,2,0,0,0,0,NWE,qb
Baker Mayfield,44,153,0,0,0,0,246,380,2588,17,7,0,0,0,7,TAM,qb
Ben Bredeson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYG,g
Ben Sims,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,GNB,te
Ben Skowronek,2,9,0,4,32,1,0,0,0,0,0,0,0,0,0,LAR,wr
Bijan Robinson,141,703,3,32,240,3,0,0,0,0,0,0,0,0,2,ATL,rb
Blaine Gabbert,2,-1,0,0,0,0,3,5,31,0,2,0,0,0,0,KAN,qb
Blake Bell,0,0,0,3,19,1,0,0,0,0,0,0,0,0,1,KAN,te
Blake Gillikin,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,p
Blake Grupe,0,0,0,0,0,0,0,0,0,0,0,30,24,19,0,NOR,k
Boston Scott,12,67,0,3,25,0,0,0,0,0,0,0,0,0,0,PHI,rb
Brandin Cooks,3,23,0,33,452,4,0,0,0,0,0,0,0,0,1,DAL,wr
Brandin Echols,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,NYJ,cb
Brandon Aiyuk,0,0,0,45,881,5,0,0,0,0,0,0,0,0,0,SFO,wr
Brandon Aubrey,0,0,0,0,0,0,0,0,0,0,0,22,22,33,0,DAL,k
Brandon Johnson,0,0,0,8,122,3,0,0,0,0,0,0,0,0,0,DEN,wr
Brandon McManus,0,0,0,0,0,0,0,0,0,0,0,26,23,23,0,JAX,k
Brandon Powell,5,17,0,25,269,1,0,0,0,0,0,0,0,0,1,MIN,wr
Braxton Berrios,1,11,0,20,194,1,0,0,0,0,0,0,0,0,1,MIA,wr
Breece Hall,124,569,2,38,320,2,0,0,0,0,0,0,0,0,2,NYJ,rb
Brenton Strange,0,0,0,4,34,1,0,0,0,0,0,0,0,0,0,JAX,te
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,23,17,12,0,LAR,k
Brett Rypien,3,19,0,0,0,0,18,38,172,0,1,0,0,0,2,LAR,qb
Brevin Jordan,0,0,0,6,60,1,0,0,0,0,0,0,0,0,0,HOU,te
Brian Hoyer,3,-3,0,0,0,0,23,42,231,0,2,0,0,0,0,LVR,qb
Brian Robinson Jr.,153,611,5,29,326,3,0,0,0,0,0,0,0,0,3,WAS,rb
Brock Purdy,33,122,2,0,0,0,214,305,2871,19,6,0,0,0,6,SFO,qb
Brock Wright,0,0,0,10,77,1,0,0,0,0,0,0,0,0,0,DET,te
Bryce Young,25,161,0,0,0,0,216,350,1877,9,8,0,0,0,6,CAR,qb
Brycen Hopkins,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,LAR,te
Byron Pringle,0,0,0,13,156,0,0,0,0,0,0,0,0,0,1,WAS,wr
C.J. Beathard,3,-2,0,0,0,0,3,4,14,0,0,0,0,0,0,JAX,qb
C.J. Ham,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,MIN,fb
C.J. Stroud,29,132,3,1,0,0,249,391,3266,19,5,0,0,0,6,HOU,qb
C.J. Uzomah,0,0,0,8,58,1,0,0,0,0,0,0,0,0,0,NYJ,te
Cade Otton,0,0,0,38,348,3,0,0,0,0,0,0,0,0,1,TAM,te
Cairo Santos,0,0,0,0,0,0,0,0,0,0,0,25,23,21,0,CHI,k
Calvin Austin III,8,30,0,16,170,1,0,0,0,0,0,0,0,0,0,PIT,wr
Calvin Ridley,5,28,0,47,663,5,0,0,0,0,0,0,0,0,1,JAX,wr
Cam Akers,60,167,2,11,70,0,0,0,0,0,0,0,0,0,0,2TM,rb
Cameron Dicker,0,0,0,0,0,0,0,0,0,0,0,18,17,30,0,LAC,k
