PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Patrick Mahomes II,KC,609.8,405.5,4831.6,37.7,11.2,64.9,356.8,3.2,1.9,383.8
Josh Allen,BUF,575.9,363.3,4279,32.1,14.2,117,661.5,6.3,4.2,380.6
Jalen Hurts,PHI,493.9,318.1,3822.1,23.7,10.1,157.6,800.9,11,2.9,377.8
Lamar Jackson,BAL,480.2,305,3479.9,25.5,11.6,148.5,940.9,5.5,3,350.8
Joe Burrow,CIN,591.3,402.2,4590.2,32.7,12.9,63.8,269.1,3.7,2.3,346
Justin Fields,CHI,408.2,251,2912.9,20.2,12.8,161.3,1070.4,6.9,3.5,325.6
Justin Herbert,LAC,627.4,421.8,4594.2,30.1,12.7,57.1,220.7,2,2,321.6
Deshaun Watson,CLE,508,326.7,3875,24.7,11,96.1,481.8,4.1,1.8,311.9
Dak Prescott,DAL,549.7,362.8,4106.1,29.2,13.7,59,252.6,2.4,3.1,300.7
Trevor Lawrence,JAC,578.5,378.4,4087.7,26.9,12.2,62.5,285.4,3.9,5.2,300.6
Kirk Cousins,MIN,593.1,395.4,4443.8,30.5,12.3,31.4,92,1.5,2.8,300.1
Daniel Jones,NYG,515.6,335.4,3471.8,20.8,10,109.3,636.5,4.9,4.1,296.9
Geno Smith,SEA,544.5,370.7,4050.6,27.1,11.3,62.2,323.1,2,3.7,295.8
Aaron Rodgers,NYJ,565.3,365.8,4096,28.3,8.6,36,123.4,1.5,2.6,284.9
Russell Wilson,DEN,511.3,322.7,3811.8,24.2,10.7,63.5,318,2.6,2.1,281.9
Jared Goff,DET,568.5,373.3,4222.2,27.6,10.9,31.2,80.7,1.2,3.5,276.6
Tua Tagovailoa,MIA,524.5,342.8,4040.6,26.9,12.1,42.3,131.7,1.6,1.8,276.3
Anthony Richardson,IND,486.6,300.6,3202.6,18,13.2,130.2,585.6,4,2.6,264.6
Derek Carr,NO,510.8,335.4,3939.3,23.7,11.8,34.5,116.7,0.9,2.6,252.5
Kenny Pickett,PIT,502.3,317.2,3311.2,17.5,12.3,67,421.2,3.6,1.5,250.8
Matthew Stafford,LAR,528.2,351,3985.5,24.4,13.2,30,71.2,0.9,2.8,250.6
Jordan Love,GB,544.2,344,3810.5,23.1,14.8,43,166.7,1.5,2.6,250.3
Bryce Young,CAR,525.1,331.1,3665.2,20.5,12.9,51.1,200.6,1.6,2.3,240.4
Brock Purdy,SF,431.3,282,3350,23.8,9.8,36.1,107.2,2.1,1.4,239.6
Jimmy Garoppolo,LV,483.7,319.7,3555.6,21.2,11.9,30.3,66.5,1.5,2.3,226.2
C.J. Stroud,HOU,514.9,322.9,3422.7,19.2,14.1,49.8,175.4,1.4,2.5,220.4
Ryan Tannehill,TEN,447.5,291,3238,18.8,10.8,40.9,161.4,2.3,2.1,220.1
Mac Jones,NE,492.7,322.6,3436.7,19.1,13.2,50.6,148.9,1.2,2.1,218.7
Kyler Murray,ARI,432.5,285.2,2779.4,14.2,9.7,79.1,420.1,2.9,1.9,213.8
Sam Howell,WAS,477.3,298,3058.3,17,12.3,50.8,211.3,1.7,2.4,204.7
Desmond Ridder,ATL,438.8,270.4,2919.4,16.4,10.2,39.8,172.5,1.4,3,192.2
Baker Mayfield,TB,457.5,281,2989.1,15.9,11.4,33.8,121.3,1.1,2.1,186.3
Jacoby Brissett,WAS,193.4,112.4,1252.4,5.1,3.9,23,90.7,0.8,1.5,77.2
Kyle Trask,TB,228.7,138.3,1375.3,6,6.5,18.8,50.5,0.2,1.2,76.7
Colt McCoy,ARI,165.2,107.1,1179.4,4.5,4.6,17.4,58.7,0.5,1,67.5
Will Levis,TEN,137.1,84.8,992.7,4.1,4.5,18.3,60.5,0.3,0.9,57.7
Trey Lance,SF,126.5,78.1,802.5,3.1,3.5,23.1,94.2,0.6,0.8,52.3
Brian Hoyer,LV,98.1,59.5,742.6,4,4,10.4,32.5,0.2,0.8,44.7
Taylor Heinicke,ATL,99,60.6,704.9,3.8,3.9,18.1,51,0.2,1.2,43.4
Gardner Minshew II,IND,77.5,48.6,685.2,2.9,2.3,11.9,41.3,0.2,1.2,39.7
Sam Darnold,SF,124.7,72.6,608.9,2.5,3.7,15.6,44.5,0.1,1.1,33.5
Mike White,MIA,90,53.8,586,2.8,3.7,12.6,20.1,0.1,0.6,32.2
Bailey Zappe,NE,100.3,61.1,598.8,2.4,3.6,12,22.4,0.1,1.1,30.8
Clayton Tune,ARI,107.3,64.5,643.4,1.1,3.9,16,43.4,0.3,1.1,29.9
Davis Mills,HOU,84.6,49.6,515.7,1.6,4,14.5,31.7,0.2,0.6,26.4
