PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
John Metchie III,HOU,42.9,571.7,2.9,1.4,11.1,0.1,0.2,75.7
Robert Woods,HOU,54.8,547.6,2.8,4.2,19.8,0.2,0.5,73.5
Alec Pierce,IND,37.2,587.8,2.4,0,0.2,0,0,73.5
Mecole Hardman Jr.,NYJ,37.6,458.7,2.6,8.1,62.8,0.9,0.9,71.6
Darius Slayton,NYG,38.1,580.8,2.4,0.6,1.9,0,0.6,71.4
Russell Gage,TB,55,552.9,2.8,0.4,1.5,0,0.6,70.9
Chase Claypool,CHI,35.3,501.4,2.6,6,40.1,0.2,0.5,70.1
Corey Davis,NYJ,36.8,543.8,2.6,0,0.5,0,0.1,69.7
Khalil Shakir,BUF,41.4,540,2.4,1.8,9.2,0.1,0.2,69.5
Mack Hollins,ATL,43.3,492.6,2.8,0.7,16.1,0.1,0.2,67.9
Rashee Rice,KC,34.1,502.6,2.9,1.5,9.8,0,0.5,67.6
Allen Robinson II,PIT,41.4,520.3,2.5,0.1,0.4,0,0,66.9
Marvin Jones Jr.,DET,37.1,486.1,3,0.1,0.6,0,0,66.9
Parris Campbell,NYG,35.7,436.3,2.2,3.2,36.8,0.1,0.2,60.4
Jalin Hyatt,NYG,33.5,461.1,2.2,1.5,10.5,0.1,0.5,59.9
Greg Dortch,ARI,48.2,452.1,1.7,6.4,48.6,0.1,0.5,59.6
Tyquan Thornton,NE,30.1,390.2,2.4,2.9,11,0.6,0,58.1
Joshua Palmer,LAC,37.1,461,2.1,0.6,2.3,0,0.3,58
Wan'Dale Robinson,NYG,35.4,451.1,1.9,2.4,9.8,0.1,0.5,56.6
Josh Reynolds,DET,31.9,439.9,2.1,0.4,0.6,0,0.2,56.5
Kendrick Bourne,NE,28.4,415.6,1.8,3.7,28,0.1,0.1,55.8
Nick Westbrook-Ikhine,TEN,29.1,400.3,2.5,0,0.4,0,0.2,54.5
Ben Skowronek,LAR,41.2,397.8,1.7,0.5,5.7,0.4,0,52.7
Terrace Marshall Jr.,CAR,23,416.9,1.4,0,0.2,0,0,50
Marvin Mims Jr.,DEN,25.2,377.3,1.7,1.1,5.3,0,0.2,48.3
Sterling Shepard,NYG,29,355.9,1.7,2,12.8,0.1,0.3,46.9
Richie James Jr.,KC,26.8,350.5,2.2,0.6,1.7,0,1.6,45.4
Laviska Shenault Jr.,CAR,19.7,259.7,0.8,18.6,87.7,0.8,0.2,43.7
Isaiah McKenzie,IND,26,304.5,1.3,7.8,37.9,0.3,0,43.7
Josh Downs,IND,19.8,345,1.2,1.2,8,0,0.2,42.6
Tutu Atwell,LAR,20.9,306.9,1.1,7.1,32.6,0.4,0.4,42.4
Kayshon Boutte,NE,0,388.5,0.3,1.6,9.8,0.1,0.3,41.6
Cedric Tillman,CLE,0,388.5,0.3,1.6,9.8,0.1,0.3,41.6
