PlayerName,Team,fg,fga,xpt,fpts
Daniel Carlson,LV,30.1,33.1,35.7,125.9
Harrison Butker,KC,25.7,29.9,48.4,125.6
Tyler Bass,BUF,27.3,31.8,43.1,124.8
Justin Tucker,BAL,27.7,31.1,41.7,124.7
Evan McPherson,CIN,27.5,32,40,122.6
Jason Myers,SEA,27.1,31,41.3,122.5
Greg Joseph,MIN,27.6,32.6,39.4,122.2
Cameron Dicker,LAC,26.9,31.7,40.7,121.4
Dustin Hopkins,CLE,26.8,32,40,120.2
Jake Elliott,PHI,25.3,29.1,44.1,120.2
Younghoe Koo,ATL,29.2,32.9,32,119.7
Brandon McManus,JAC,28.8,33.7,32.9,119.4
Greg Zuerlein,NYJ,28.5,35.1,33.1,118.7
Jake Moody,SF,26.2,31.2,40.1,118.6
Nick Folk,TEN,26.4,32.2,39.2,118.5
Graham Gano,NYG,28.8,32,31.8,118.2
Cairo Santos,CHI,27.2,30.9,34.5,116.1
Jason Sanders,MIA,26.6,31.8,36.1,116
Riley Patterson,DET,25.7,30.6,38.8,115.9
Matt Gay,IND,26.9,30.7,34.1,114.9
Chris Boswell,PIT,27.2,31.6,32.3,114
Matt Prater,ARI,26.2,30.8,33.9,112.5
Ka'imi Fairbairn,HOU,27,31,31.2,112.3
Eddy Pineiro,CAR,26.9,30.6,30.3,110.9
Chase McLaughlin,TB,25.4,29.7,33.9,110.1
Brandon Aubrey,DAL,23.6,28.7,38.9,109.6
Anders Carlson,GB,23.7,28.4,38,109.2
Wil Lutz,DEN,25.8,31.4,31.4,108.9
Michael Badgley,DET,24.3,28.4,34.9,107.7
Chad Ryland,NE,24.7,28.8,32.1,106.2
Joey Slye,WAS,25.8,30.7,27,104.4
Blake Grupe,NO,13.7,16.5,17.9,58.9
