PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Antonio Brown,PIT,4.3,23.2,0,116.5,1533.8,9.8,1.3,212.2
Demaryius Thomas,DEN,0,0,0,102.3,1394.4,11.5,0.5,207.4
Odell Beckham Jr.,NYG,5.2,34.9,0.1,101.2,1376.8,10.1,1.3,199.7
Dez Bryant,DAL,0.1,0.4,0,89.1,1322.8,11.4,0.8,199.3
Calvin Johnson,DET,0,0,0,86.9,1311.4,10.1,0.5,190.5
Julio Jones,ATL,1.7,10.1,0,103.4,1426.9,8.3,1.8,190.1
Randall Cobb,GB,9.3,72.3,0.1,91.9,1260.7,9.5,1.5,187.4
A.J. Green,CIN,2.7,17.1,0,93.8,1288.8,8.3,2.2,176
Alshon Jeffery,CHI,5.4,34.9,0,86,1171.7,8.6,0.8,170.6
Mike Evans,TB,0,0,0,79.4,1172.7,8.4,0.7,166.3
T.Y. Hilton,IND,2.7,17.4,0,85,1209.9,7.3,1.3,164.2
Emmanuel Sanders,DEN,4.8,30.6,0.1,83.1,1120.5,7.5,0.6,159.5
Brandin Cooks,NO,9.9,71.7,0.1,87.9,1071.6,5.9,0.6,148.9
DeAndre Hopkins,HOU,0,0,0,82.3,1159,5.9,1.6,147.9
Jordan Matthews,PHI,0,0,0,75,990.3,7.5,0.6,142.6
Julian Edelman,NE,7.2,54.2,0.1,95.5,1012.5,5.9,1.3,140.1
DeSean Jackson,WAS,4.1,22,0,66.7,1040.2,5.5,0.4,138.8
Andre Johnson,IND,0,0,0,78.2,972.4,7.3,2.2,136.4
Golden Tate,DET,2.6,15.5,0,81.1,1046,5.2,0.6,136.2
Keenan Allen,SD,0,0,0,80.6,1026,5.7,1.4,133.9
Sammy Watkins,BUF,2.8,16.3,0,68,970.7,6.2,1.2,133.4
Davante Adams,GB,0,0,0,71,933.8,6.6,0.4,132.2
Jeremy Maclin,KC,0,0,0,70.8,932.9,6.2,0.4,130
Brandon Marshall,NYJ,0.2,0.4,0,72.4,942.3,6.2,1,129.2
Vincent Jackson,TB,0.1,-0.2,0,65.8,984.5,4.9,0.9,125.8
Amari Cooper,OAK,1.9,12.3,0,69.8,915.5,5.1,0.8,121.6
Mike Wallace,MIN,0.9,7.7,0,59.7,885.3,5.6,0.9,121.3
Jarvis Landry,MIA,2.2,13.6,0,83.8,919.6,5.1,1.8,120.4
Martavis Bryant,PIT,2.5,15,0,48.7,773,7.1,0.6,120.1
Eric Decker,NYJ,0,0,0,67.5,895.6,5.1,0.3,119.4
Steve Smith,BAL,0,0,0,69.3,919.5,5,1.3,119.2
Roddy White,ATL,0,0,0,71.5,878.3,5.7,1.8,118.4
Anquan Boldin,SF,0.1,0.6,0,72.1,926.7,4.3,0.5,117.6
Allen Robinson,JAC,0,0,0,73.4,901.6,4.8,0.6,117.5
Michael Floyd,ARI,0.1,0.3,0,54.1,828.1,5.9,1.3,115.6
Charles Johnson,MIN,0.3,0.2,0,58.6,849.7,5.2,0.5,115.2
Nelson Agholor,PHI,0,0,0,60.5,833.3,5.5,0.8,114.6
Brandon LaFell,NE,0.3,2.1,0,61.6,833.7,5.5,1.2,114.4
Torrey Smith,SF,0,0,0,53.6,851,4.9,0.3,113.9
Larry Fitzgerald,ARI,0.1,0.4,0,69.6,860.3,4.8,1.2,112.2
John Brown,ARI,2.4,14.4,0,56,801,5.2,0.4,112.2
Marques Colston,NO,0,0,0,56.8,827.4,5,1,110.8
Victor Cruz,NYG,0,0,0,63.7,842.7,4.3,0.6,109
Devin Funchess,CAR,0,0,0,59.1,766.1,5.2,0.7,106.5
Pierre Garcon,WAS,0.1,0.2,0,68.8,827.1,4,0.4,106.1
Kendall Wright,TEN,2.4,16,0,70.9,805.7,4.3,1.2,105.6
Terrance Williams,DAL,0.1,0.2,0,41.7,693.7,6.2,0.6,105.3
Malcom Floyd,SD,0,0,0,43.6,762.5,4.7,0.2,104
Doug Baldwin,SEA,1.3,8.7,0,56.4,749.2,4.8,0.7,103.4
Breshad Perriman,BAL,0,0,0,50.9,721.1,5.2,0.6,102.1
Rueben Randle,NYG,0,0,0,50.2,730.8,3.9,0.3,95.6
Eddie Royal,CHI,0.5,4,0,58.6,702.7,4.7,1.7,95.5
Dwayne Bowe,CLE,0,0,0,56.2,752.4,3.5,0.7,94.6
Brian Quick,STL,0,0,0,48.6,686.8,4.4,0.5,93.9
Kenny Stills,MIA,2.2,13.4,0,49.1,709.4,3.7,0.5,93.8
Kenny Britt,STL,0.2,0.1,0,46.8,681.2,3.7,0.4,89.7
Percy Harvin,BUF,14.9,91.5,0.6,54.7,601.3,3.2,1.9,88.6
Michael Crabtree,OAK,0.1,0.8,0,57.2,651.5,3.5,0.3,85.4
Steve Johnson,SD,0,-0.1,0,48.1,622.1,4,0.5,85.2
Devante Parker,MIA,0,0,0,47.1,629.7,3.9,0.7,85.1
Allen Hurns,JAC,1.9,12.2,0,46.6,605.2,3.5,0.4,81.8
Marvin Jones,CIN,1.4,8.7,0,41.2,548.3,4,0.4,78.9
Cody Latimer,DEN,0,0,0,42.5,565.2,3.8,0.5,78.1
Markus Wheaton,PIT,2.7,17.2,0,45.2,571.4,2.7,0.4,74.5
Andrew Hawkins,CLE,4.3,30.4,0,48,571,2.3,0.3,73.7
Brandon Coleman,NO,0,0,0,36.6,533.8,3.6,0.6,73.5
Jermaine Kearse,SEA,0.4,3,0,36.7,531.1,3.3,0.4,72.3
Greg Jennings,MIA,0,0,0,37.5,498.8,3.5,0.4,70.3
Brian Hartline,CLE,0,0,0,40.3,562.6,2.3,0.3,69.3
Nate Washington,HOU,0,0,0,36.6,542.7,2.5,0.4,68.7
Philly Brown,CAR,4.8,32.6,0,35.1,502.1,2.7,1,68.1
Cole Beasley,DAL,0,0,0,43.5,501.7,3.3,1.1,68
Jeff Janis,GB,0,0,0,34.2,482.2,3.4,0.4,67.9
Jerricho Cotchery,CAR,0,1.1,0,41.8,514.7,2.8,0.3,67.9
Robert Woods,BUF,0,0.1,0,38.5,485.3,3.1,0.8,65.6
Tavon Austin,STL,20.3,166.4,0.7,34.3,335.4,1.6,0.3,63.1
Phillip Dorsett,IND,2,12.9,0,32.6,430.1,3,0.5,61.3
Cecil Shorts,HOU,0,0,0,39.3,498.5,2.2,1,61.3
Leonard Hankerson,ATL,0,0,0,34.4,429.2,3.1,0.3,61
Dexter McCluster,TEN,39,160,1,33,302,1,0,58.2
Mohamed Sanu,CIN,4.6,30.2,0.1,32.4,392.8,2.6,0.2,58
Donte Moncrief,IND,2.8,17.1,0,29.5,404.4,2.7,0.3,57.9
Marqise Lee,JAC,0.5,1.8,0,38.8,463,2,0.4,57.8
Tyler Lockett,SEA,1.1,7.4,0,29.9,425,2.5,0.4,57.4
Mike Brown,CAR,0,0,0,34.3,443,2.6,3,53.9
Jarius Wright,MIN,2.5,16.9,0,29.5,384.6,2.2,0.2,53
Reggie Wayne,NE,0,0,0,33.9,415.7,2,0.5,52.5
Harry Douglas,TEN,0,0,0,33.7,410,2,0.4,51.9
Dorial Green-Beckham,TEN,0,0,0,27.6,377.9,2.4,0.2,51.7
Ty Montgomery,GB,3,20.1,0,26.8,357.5,2.4,0.5,51.2
Rod Streater,OAK,0,0.1,0,28.1,392.1,2.2,0.6,51.2
Andre Roberts,WAS,1.1,5.3,0,33,411.7,1.9,1.4,50.7
Nick Toon,NO,0.2,0.7,0,28.6,390.1,2.2,1.5,49.5
Riley Cooper,PHI,0,0,0,27.3,369.1,2.3,0.6,49.4
Devin Smith,NYJ,1.5,9.2,0,24.8,345.2,2.3,0.4,48.3
Jeremy Kerley,NYJ,0.8,4.4,0,29.5,362.1,2,0.4,48.1
Andre Holmes,OAK,0,0,0,22.8,359.6,2,0.2,47.7
Justin Hunter,TEN,0,0,0,22.6,365.2,1.9,0.2,47.7
Cordarrelle Patterson,MIN,8.2,64.6,0.3,25.7,317.8,1.5,0.7,47.5
Chris Conley,KC,0,0,0,27.7,344.7,2.1,0.4,46.1
Jaelen Strong,HOU,0,0,0,26.5,354.1,1.8,0.5,45.5
Danny Amendola,NE,0.1,0.1,0,32.4,334.5,2.1,0.3,45.4
Kamar Aiken,BAL,0,0,0,24.6,316.8,2.4,0.4,45.1
Albert Wilson,KC,0,0,0,26.2,344.7,1.8,0.3,44.4
Kevin White,CHI,0,0,0,24.5,338.6,1.8,0.3,44
Louis Murphy,TB,0,0,0,27.6,344.7,1.6,0.6,43.2
De'Anthony Thomas,KC,15,90.4,0.2,28.2,231,1.8,0.4,43.2
Stedman Bailey,STL,0.1,0.7,0,25.6,333.5,1.6,0.2,42.4
Taylor Gabriel,CLE,1.3,10.8,0,22.4,318.2,1.6,0.2,42.4
Marquess Wilson,CHI,0,0,0,26.7,308.1,1.8,0.3,40.9
Hakeem Nicks,TEN,0,0,0,22.9,290.4,1.4,0.2,36.9
Justin Hardy,ATL,0,0,0,22,275.6,1.5,0.2,36.1
Marlon Brown,BAL,0,0.1,0,20.9,251,1.6,0.2,34.1
Ted Ginn,CAR,2.9,20.2,0,17.9,256.5,1.4,1.3,33.8
Quinton Patton,SF,0.9,5.3,0,20.6,259.6,1.2,1.3,30.8
Corey Fuller,DET,1.3,8.8,0,16.7,240.4,1.2,1.4,29.5
Devin Hester,ATL,3,18.9,0.1,15.6,199.1,0.8,0.2,26.5
Jason Avant,KC,0.2,0.3,0,20.4,214.2,0.8,0.2,26
Chris Matthews,SEA,0,0,0,12.7,180.1,1.1,0.1,24.5
Jaron Brown,ARI,0,0,0,12.5,178,1,0.2,23.6
Chris Hogan,BUF,0,0,0,15,176.3,1.4,1.3,23.3
Bruce Ellington,SF,2.3,15,0,9.9,139.4,1.3,0.3,23.1
Jeremy Ross,DET,0.1,0.3,0,13.4,179.9,1,1.1,22
Jamison Crowder,WAS,0,0,0,14.5,173.8,0.7,0.3,21.1
Josh Huff,PHI,0.4,1.3,0,13.3,168.3,0.7,0.1,21.1
Ricardo Lockette,SEA,0.3,2.1,0,11.1,153,0.9,0.1,20.8
Brandon Tate,CIN,0.5,3.6,0,14,172.4,0.6,1,19.2
Jerome Simpson,SF,0,0,0,11.1,153.5,0.7,0.2,19
Sammie Coates,PIT,0,0,0,11.1,145.8,0.7,0.1,18.8
Kenny Bell,TB,0,0,0,11.7,148.3,0.7,0.2,18.7
Michael Campanaro,BAL,2.1,14,0,10.2,132.2,0.7,0.3,18.5
Kenbrell Thompkins,OAK,0,-0.3,0,11.2,146.4,0.6,0.2,17.9
Rishard Matthews,MIA,0.2,0.3,0,10.1,128.2,0.8,0,17.4
Travis Benjamin,CLE,0,0.1,0,8.4,135.2,0.6,0,17
Preston Parker,NYG,0,0,0,10.1,131.8,0.6,0.1,16.6
Paul Richardson,SEA,0,0,0,11,132.5,0.5,0,16.5
Dontrelle Inman,SD,0,0,0,9,122.8,0.7,0,16.3
Rashad Greene,JAC,0,0,0,10.3,134.2,0.5,0.2,15.7
Jarrett Boykin,CAR,0,0,0,8.9,117.7,0.7,0,15.7
Seantavius Jones,NO,0,0,0,7.7,118,0.7,0.1,15.6
Miles Austin,PHI,0,0,0,8.3,107.4,0.7,0.1,15
Devin Street,DAL,0,0,0,8.5,116.3,0.3,0,13.2
Jacoby Jones,SD,0.3,0.3,0,8.2,105.3,0.4,0.1,13
Andre Caldwell,DEN,0.1,0.7,0,7.9,107.5,0.3,0,12.3
Corey Washington,NYG,0,0,0,6.7,86.8,0.6,0.1,12.3
Joseph Morgan,NO,0,0.8,0,5.6,84.6,0.6,0,12.2
Walt Powell,NYJ,0,0,0,6.2,79.8,0.4,0,10.1
T.J. Graham,NYJ,0,0,0,3.5,61.1,0.7,0,10
Terrelle Pryor,CLE,4.5,29.9,0.1,3.8,48.8,0.3,0.1,9.8
Saalim Hakim,NYJ,0,0,0,6,81.7,0.3,0,9.7
Matt Slater,NE,0,0,0,5.6,70.6,0.4,0,9.5
Jeff Maehl,PHI,0,0,0,6.3,70.5,0.4,0,9.4
