PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Rob Gronkowski,NE,81,1067.3,10,0.2,166.5
Jimmy Graham,SEA,64.7,806.8,8.7,1,130.8
Greg Olsen,CAR,74.1,892.5,5.2,0.4,119.7
Travis Kelce,KC,70.8,819.5,5.8,1.8,113.1
Martellus Bennett,CHI,75,795.1,4.8,0.2,108.2
Jason Witten,DAL,63.2,729.9,5.8,0.2,107.5
Zach Ertz,PHI,56.1,717,4.9,0.9,99.6
Julius Thomas,JAC,60.3,673.3,5.2,0.5,97.7
Jordan Cameron,MIA,51.9,637.3,4.7,0.3,91.7
Delanie Walker,TEN,57.7,682.7,4,0.7,90.8
Dwayne Allen,IND,44,499.9,6.4,0.3,87.6
Coby Fleener,IND,45.6,554,5.3,0.1,86.9
Josh Hill,NO,49.9,526.6,5.6,0.3,86
Owen Daniels,DEN,50.2,561,5,0.2,85.8
Vernon Davis,SF,46.9,592.9,4.2,0.4,83.9
Heath Miller,PIT,59,655.3,3.6,1.6,83.9
Larry Donnell,NYG,52.9,579.4,5.1,2.6,83.3
Charles Clay,BUF,53.8,592,4,0.1,82.9
Kyle Rudolph,MIN,52.4,568.1,4.3,0.2,82.3
Jared Cook,STL,48.6,582.1,3.6,0.2,79.6
Austin Seferian-Jenkins,TB,52.9,601.4,3.7,1.8,78.9
Antonio Gates,SD,41.3,493.2,4.9,0.8,77.1
Tyler Eifert,CIN,51,558.8,3.4,0.3,75.5
Jordan Reed,WAS,53.9,567.4,3.3,0.9,75.1
Eric Ebron,DET,50.5,536.1,3.2,0.3,72
Ladarius Green,SD,36.8,462,3,0.2,64.1
Jace Amaro,NYJ,42,446.2,2.8,0.3,60.9
Richard Rodgers,GB,35.4,394,3.7,0.2,60.9
Mychal Rivera,OAK,40,427,3,0.9,59.1
Rob Housler,CLE,37.4,427.7,2.6,0.3,57.8
Jacob Tamme,ATL,39.2,418.6,2.7,0.7,56.5
Maxx Williams,BAL,32.5,371,3.2,0.2,56.1
Virgil Green,DEN,33.1,327.4,2.8,0.1,49.5
Benjamin Watson,NO,30.3,326.1,2.6,0.1,48.2
Lance Kendricks,STL,27,285,3.3,0.1,47.9
Brent Celek,PHI,27.8,336,2.6,1.1,47
Niles Paul,WAS,29.4,349,2.1,0.7,45.9
Garrett Graham,HOU,29,303.7,2,0.7,40.8
Jeff Cumberland,NYJ,19.8,226.3,2.9,0,40.1
Troy Niklas,ARI,26.2,287.5,2,0.2,40.1
Jermaine Gresham,ARI,25.7,259.9,2.3,0.8,38
Andrew Quarless,GB,21,234,2.3,0.1,37.4
Scott Chandler,NE,21.7,241.9,2,0.1,36.3
Clive Walford,OAK,22.7,261.7,1.7,0.2,35.9
Darren Fells,ARI,15.4,179.5,2.7,0,33.9
Crockett Gillmore,BAL,19.8,214.8,2,0.1,33.2
Luke Willson,SEA,17,231.2,1.2,0,30.5
Dion Sims,MIA,18.6,204.8,1.4,0.1,28.7
Marcedes Lewis,JAC,17.5,204.2,1.6,0.6,28.7
Gavin Escobar,DAL,12.4,151.8,2.3,0.1,28.6
James Casey,DEN,13.6,159.3,1.6,0.1,25.5
Dennis Pitta,BAL,16.5,174.2,1.2,0.1,24.6
Brandon Myers,TB,17,181.5,1,0,24.2
Levine Toilolo,ATL,16.6,160.5,1.4,0.1,24.1
Anthony Fasano,TEN,12.6,128.4,1.6,0,22.6
Brandon Pettigrew,DET,14.8,149.1,0.9,0.1,20.3
Tim Wright,TB,12.4,148.2,0.8,0.1,19.3
Clay Harbor,JAC,13.5,156.6,0.7,0.5,19.1
Daniel Fells,NYG,10.1,115.1,1.1,0.2,18
Ed Dickson,CAR,11.9,138,0.7,0.1,17.7
Sean McGrath,IND,9,109,1,0,16.9
Joseph Fauria,DET,9.5,100.4,0.7,0.1,14.3
Gary Barnidge,CLE,8,89.7,0.9,0,14
