PlayerName,Team,fg,fga,xpt,fpts
Stephen Gostkowski,NE,31.2,34.3,47.5,141.1
Justin Tucker,BAL,30.8,34.4,39.7,132
Cody Parkey,PHI,28.7,32.4,45,131.2
Mason Crosby,GB,27.3,32.6,49,131
Connor Barth,DEN,27,30.6,49.4,130.3
Steven Hauschka,SEA,29.6,33.4,40.5,129.2
Adam Vinatieri,IND,27.5,30.8,45.4,127.9
Shaun Suisham,PIT,28.4,31.9,38.7,123.9
Dan Bailey,DAL,25.5,29.3,47,123.4
Chandler Catanzaro,ARI,29.3,32.9,34,121.9
Matt Bryant,ATL,27.4,31.1,39,121.2
Dan Carpenter,BUF,29,32.6,34.1,121.1
Dustin Hopkins,NO,24.4,29.3,43.3,116.5
Josh Brown,NYG,25.6,28.2,39.4,116.1
Blair Walsh,MIN,26.4,32.7,36.8,116
Phil Dawson,SF,27.7,32.7,32.3,115.6
Cairo Santos,KC,25.7,30.8,37.6,114.7
Graham Gano,CAR,25.8,31,36.5,114
Caleb Sturgis,MIA,25.9,32.3,35.8,113.5
Randy Bullock,HOU,26.5,32.2,33.4,112.8
Nick Novak,SD,25.3,28.8,36.4,112.2
Greg Zuerlein,STL,26.4,31.7,33.2,112.2
Nick Folk,NYJ,26.8,31.4,31.5,112
Jay Feely,CHI,24.7,28.4,37.3,111.3
Mike Nugent,CIN,24.7,30.1,36.5,110.5
Matt Prater,DET,24.7,29.1,36,110.3
Kai Forbath,WAS,23.9,27.8,32.8,104.3
Travis Coons,CLE,24.2,29.3,29.7,102.4
Sebastian Janikowski,OAK,22.9,27.4,30.5,99.2
Robbie Gould,CHI,21,25.5,36,99
Carey Spear,CLE,23,27,29,98
Ryan Succop,TEN,22.5,26.3,29.4,96.8
Josh Scobee,JAC,23,27.5,26.6,95.6
Patrick Murray,TB,21.2,25.6,30.3,93.9
Brandon McManus,DEN,0,0,1,1
