PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Robert Turbin,SEA,56.3,242.2,0.8,12.5,109.5,0.6,0.7,42
Chris Polk,HOU,51.7,226.8,1.6,7.8,60.2,0.1,0.7,37.8
Ronnie Hillman,DEN,47.3,197.6,1.1,11.1,87,0.1,0.4,35.1
Bobby Rainey,TB,44,190.9,1,15.6,127.5,0.3,2.8,34.3
Marcel Reece,OAK,20.8,87.6,0.6,21.6,185.9,0.7,0.7,33.5
Travaris Cadet,NE,12.8,54.6,0.4,23.6,191,1.2,0.3,33
Toby Gerhart,JAC,33.3,131.8,0.9,16.3,130.2,0.4,0.7,32.4
Trent Richardson,OAK,53.2,187.4,1.2,8.3,62.6,0.3,0.7,32.3
Khiry Robinson,NO,39.7,176.6,1.5,6.1,50.9,0.1,0.3,31.7
Cameron Artis-Payne,CAR,52.2,215.8,1.1,5.2,40.5,0,0.4,31.7
Jacquizz Rodgers,CHI,34.4,134.8,0.5,18,123.7,0.5,0.6,30.2
Ka'Deem Carey,CHI,45.8,194.7,1.1,4.4,35.1,0,0.3,29.5
Antone Smith,ATL,30.9,150.8,0.8,6.6,62.3,0.5,0.2,29
Dri Archer,PIT,24.5,93.8,0.1,18.7,148.4,0.9,0.7,28.8
Darrel Young,WAS,8.9,30.1,1.7,9.3,83.3,1.2,0.1,28.6
De'Anthony Thomas,KC,10.3,64.7,0,21.7,160.7,1,0,28.5
Bruce Miller,SF,7.7,20.4,0.2,19.5,188.9,1.2,0.7,28
Josh Robinson,IND,46,197,0.5,6,50.5,0,0,27.8
Matt Asiata,MIN,17.2,68.6,1,13.8,99.9,0.5,0.1,25.7
Derrick Coleman,SEA,1,2,0,8.1,94.1,2.6,0,25.3
Tyler Clutts,DAL,9,41,0,10,46,3,1,24.7
Zach Line,MIN,18,88,1,12,95,0,0,24.3
Kyle Juszczyk,BAL,0,0,0,21,184.1,1,1.6,21.1
Jonathan Grimes,HOU,14,59,0,10,92,1,0,21.1
John Kuhn,GB,21.3,71.4,1.3,7.6,49.3,0.1,0.1,20
Leon Washington,TEN,8,33,0,23,162,0,0,19.5
Christine Michael,SEA,34.7,155,0.6,1.4,11.4,0,0.5,19
Kerwynn Williams,ARI,27,110.5,0.8,4.2,35.9,0.1,0.4,18.9
Ryan Williams,DAL,11,44,0,10,84,1,0,18.8
Brandon Bolden,NE,26.9,116.1,0.8,3.1,22.6,0,0.1,18.6
Patrick DiMarco,ATL,0,0,0,16,122,1,0,18.2
Anthony Sherman,KC,2.4,7.5,0.1,11.8,95.1,1.2,0.1,17.6
Kendall Hunter,SF,26,118.8,0.4,3,20.2,0,0.1,16
Erik Lorig,NO,4,10,0.1,18.5,104.8,1,1.1,15.8
Damien Williams,MIA,21.5,82.9,0.3,6.6,53.7,0,0.1,15.8
Jorvorskie Lane,TB,9.4,81.6,0.1,6.6,50.5,0.2,0.1,14.5
Zac Stacy,NYJ,31.6,123.1,0.1,2,14.3,0,0.2,14.1
Chris Thompson,WAS,11.9,45.4,0.2,7.9,65.6,0.1,0.2,12.5
Tommy Bohanon,NYJ,10.5,39.3,0.1,8.5,74.2,0.1,0,12
Fozzy Whittaker,CAR,11.2,43.2,0.1,5.2,46.8,0.4,0.1,11.9
Stepfan Taylor,ARI,19.6,72.8,0.1,3.3,24.5,0.3,0,11.8
Anthony Dixon,BUF,13.4,53.1,0.8,1,7.3,0,0,10.7
John Conner,BUF,2,7,0,3,35,1,0,10.2
Cyrus Gray,KC,13.1,52.6,0.5,2,15.8,0.1,0.1,10.1
Rex Burkhead,CIN,4.6,18.1,0.2,7.5,60.9,0.2,0.1,10
Will Johnson,PIT,3.4,8.7,0.1,8.8,70.2,0.2,0.1,9.4
Daryl Richardson,NYJ,12,52,0,5,42,0,0,9.4
Josh Harris,PIT,17.3,65.7,0.3,0.9,7.7,0,0.1,9.2
Robert Hughes,ARI,7.7,24.7,0.3,4.2,36.8,0.3,0.1,9.2
Silas Redd,WAS,8.5,40.7,0,5.5,48.5,0,0,9
Marion Grice,ARI,4,13,1,3,15,0,0,8.8
Cory Harkey,STL,0,0,0,7.6,64.3,0.4,0.1,8.5
Collin Mooney,ATL,0,0,0,6.7,59.5,0.4,0.1,8.3
Jerome Felton,BUF,4.7,15.1,0.2,5.1,43.5,0.3,0.1,8.3
Austin Johnson,NO,2,4,0,2,14,1,0,7.8
Jay Prosch,HOU,6,26.5,0,4,47.4,0,0,7.6
Jalston Fowler,TEN,8.8,28.4,0.3,2.9,23.5,0.1,0.1,7.1
Karlos Williams,BUF,12.4,47.7,0.1,2.2,16.9,0,0.1,7.1
