Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
Aaron Jones,70,370,3,8,16,0,0,0,0,0,0,0,0,0,0,GNB,rb
Aaron Ripkowski,4,9,0,6,35,0,0,0,0,0,0,0,0,0,0,GNB,NA
Aaron Rodgers,18,83,0,0,0,0,128,193,1385,13,3,0,0,0,1,GNB,qb
Adam Humphries,0,0,0,35,339,0,0,0,0,0,0,0,0,0,1,TAM,wr
Adam Shaheen,0,0,0,7,82,2,0,0,0,0,0,0,0,0,0,CHI,te
Adam Thielen,1,11,0,62,916,3,0,0,0,0,0,0,0,0,3,MIN,wr
Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,0,19,18,15,0,IND,k
Adoree' Jackson,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,TEN,cb
Adrian Peterson,136,450,2,7,50,0,0,0,0,0,0,0,0,0,3,2TM,NA
A.J. Derby,0,0,0,19,224,2,0,0,0,0,0,0,0,0,1,DEN,fb
A.J. Green,0,0,0,48,743,6,0,0,0,0,0,0,0,0,1,CIN,wr
Akeem Hunt,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,KAN,NA
Alan Cross,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,TAM,fb
Albert Wilson,3,6,0,17,221,2,0,0,0,0,0,0,0,0,0,KAN,wr
Aldrick Robinson,0,0,0,13,198,1,0,0,0,0,0,0,0,0,0,SFO,wr
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,17,12,14,0,NYG,k
Alex Collins,113,570,1,7,55,0,0,0,0,0,0,0,0,0,2,BAL,rb
Alex Erickson,5,16,0,9,142,1,0,0,0,0,0,0,0,0,4,CIN,NA
Alex Smith,42,200,1,0,0,0,231,333,2674,18,3,0,0,0,2,KAN,qb
Alfred Blue,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,NA
Alfred Morris,42,260,0,1,9,0,0,0,0,0,0,0,0,0,0,DAL,rb
Allen Hurns,0,0,0,36,446,2,0,0,0,0,0,0,0,0,0,JAX,wr
Allen Robinson,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,JAX,wr
Alshon Jeffery,0,0,0,38,567,6,0,0,0,0,0,0,0,0,0,PHI,wr
Alvin Kamara,72,459,4,49,447,3,0,0,0,0,0,0,0,0,1,NOR,rb
Amara Darboh,0,0,0,6,58,0,0,0,0,0,0,0,0,0,0,SEA,NA
Amari Cooper,1,4,0,41,490,4,0,0,0,0,0,0,0,0,1,OAK,wr
Ameer Abdullah,144,491,3,17,104,1,0,0,0,0,0,0,0,0,2,DET,rb
Andre Ellington,15,53,1,33,297,0,0,0,0,0,0,0,0,0,0,ARI,NA
Andre Holmes,0,0,0,13,120,3,0,0,0,0,0,0,0,0,0,BUF,wr
Andre Roberts,0,0,0,1,12,0,0,0,0,0,0,0,0,0,4,ATL,NA
Andre Williams,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,NA
Andy Dalton,27,57,0,0,0,0,183,296,2158,16,8,0,0,0,4,CIN,qb
Andy Janovich,3,8,0,2,14,0,0,0,0,0,0,0,0,0,0,DEN,fb
Anthony Fasano,0,0,0,7,45,1,0,0,0,0,0,0,0,0,1,MIA,te
Anthony Sherman,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,KAN,fb
Antonio Brown,0,0,0,70,1026,6,0,0,0,0,0,0,0,0,3,PIT,wr
Antonio Gates,0,0,0,16,147,1,0,0,0,0,0,0,0,0,0,LAC,te
