PlayerName,Team,fg,fga,xpt,fpts
Stephen Gostkowski,NE,30.9,35.6,49.8,142.6
Matt Bryant,ATL,29.9,34,46.4,136
Mason Crosby,GB,27.8,32.6,45.3,128.7
Justin Tucker,BAL,31.1,34.4,34.8,128.2
Dan Bailey,DAL,27.7,31.9,43.6,126.7
Graham Gano,CAR,29.2,35.6,38.9,126.6
Will Lutz,NO,26.8,32.2,45.2,125.7
Adam Vinatieri,IND,27.7,31.5,41.6,124.8
Sebastian Janikowski,OAK,27.8,33.3,39.5,122.8
Dustin Hopkins,WAS,28.1,33.8,38.3,122.5
Blair Walsh,SEA,28.1,33.8,38.1,122.3
Cairo Santos,KC,28.2,33.1,36.1,120.8
Chris Boswell,PIT,27,31.7,38.9,120
Phil Dawson,ARI,25.7,30,42.5,119.6
Matt Prater,DET,27.8,31.9,35.7,119.1
Caleb Sturgis,PHI,27.9,33.4,35.3,119.1
Josh Lambo,LAC,26.4,32.3,37.1,116.4
Nick Folk,TB,26.7,31.7,36.1,116
Randy Bullock,CIN,26,31,37.8,115.9
Steven Hauschka,BUF,26.1,30.4,36.3,114.5
Brandon McManus,DEN,26.8,31.8,34,114.4
Kai Forbath,MIN,26.3,30.2,34.2,113.2
Nick Novak,HOU,27.1,32.2,31.5,112.8
Jason Myers,JAC,26.1,31.3,33.1,111.5
Ryan Succop,TEN,24.4,27.9,37.9,111.1
Roberto Aguayo,CHI,24.6,32.3,36.9,110.6
Aldrick Rosas,NYG,24.3,29.1,36.7,109.6
Robbie Gould,SF,24,27.7,31.3,103.2
Connor Barth,CHI,23.5,29.3,32.1,102.6
Andrew Franks,MIA,22.1,27.3,35.8,101.9
Mike Nugent,NYG,22.8,28.4,32.6,100.9
Chandler Catanzaro,NYJ,23.4,28.7,29.1,99.4
Greg Zuerlein,LAR,22.6,27.4,28.7,96.5
Cody Parkey,CLE,22.2,27.6,28.2,94.8
Jake Elliott,CIN,17.7,20.9,24.7,77.8
Zane Gonzalez,CLE,15.6,19,18.9,65.6
Harrison Butker,CAR,14.1,16.7,19.1,61.4
