PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,93.1,1140.2,8,0.5,161.1
George Kittle,SF,87.7,1078.1,6.5,0.5,145.8
Mark Andrews,BAL,62.3,831.7,7.6,0.5,127.6
Zach Ertz,PHI,82.7,865.7,6.6,0.5,124.9
Darren Waller,LV,74.3,879.4,4.8,0.5,115.5
Evan Engram,NYG,65,740.1,5.1,0.4,103.5
Jared Cook,NO,48.8,665.4,6,0.4,102
Hunter Henry,LAC,59.1,697.5,5.1,0.5,99.4
Tyler Higbee,LAR,63.6,712.3,4.5,0.4,97.6
Rob Gronkowski,TB,48.2,668.2,4.6,0.4,93.8
Hayden Hurst,ATL,56.6,645.2,4.5,0.4,90.4
Noah Fant,DEN,51.5,641.0,4.5,0.5,89.9
Austin Hooper,CLE,54.6,607.0,4.5,0.4,87
Mike Gesicki,MIA,56.8,621.6,4.2,0.8,85.8
Chris Herndon IV,NYJ,47.4,562.1,4,0.1,79.9
T.J. Hockenson,DET,52.5,587.9,3.5,0.4,79.2
Eric Ebron,PIT,45.2,517.4,4.3,0.1,77.3
Dallas Goedert,PHI,50.9,523.9,4.3,0.5,77.2
Jonnu Smith,TEN,44.9,519.8,4.3,0.4,77.1
Blake Jarwin,DAL,45.8,519.8,4.1,0.1,76.5
Jack Doyle,IND,51.2,517.3,4.2,0.5,75.9
Ian Thomas,CAR,50.3,498.8,3.5,0.4,70.2
Greg Olsen,SEA,39.2,461.2,3.7,0,68
Kyle Rudolph,MIN,40.2,410.2,3.9,0.1,64.6
Dawson Knox,BUF,35.5,444.0,2.9,0.1,61.9
Tyler Eifert,JAC,38,431.4,2.8,0.1,60.1
Jimmy Graham,CHI,41,443.4,2.5,0.4,58.3
Irv Smith Jr.,MIN,40.4,408.5,2.8,0.1,57.6
Jace Sternberger,GB,38.2,385.6,3.3,0.4,57.3
Darren Fells,HOU,32.1,323.5,3.8,0,54.8
O.J. Howard,TB,30.2,397.4,2.6,0.4,54.2
C.J. Uzomah,CIN,39.2,369.8,2.8,0.1,53.7
David Njoku,CLE,31.8,355.7,3,0.4,53.1
Gerald Everett,LAR,32.1,355.8,2.4,0.1,49.8
