PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
 ,,NA,,NA,NA,NA,NA,NA,NA
Christian McCaffrey,CAR,248.1,1114.5,8.4,100.2,831.7,4.1,1.8,266.3
Saquon Barkley,NYG,268.1,1221.9,9,64.5,521.6,2.7,1.3,241.4
Ezekiel Elliott,DAL,286.2,1257.2,9.6,58.8,466,2.5,2.2,240.4
Derrick Henry,TEN,293.8,1448.4,11.9,22.3,189.2,1,2,236.9
Dalvin Cook,MIN,258.2,1130.5,9.8,59.3,523,1.8,2.4,230.2
Alvin Kamara,NO,199.6,911.6,7.9,82,600.6,2.9,1.6,212.9
Nick Chubb,CLE,274.2,1255.4,9,25.2,195.5,1.1,1.8,202.2
Clyde Edwards-Helaire,KC,208.1,933.0,8.2,50.4,444.3,3.1,1.8,201.6
Miles Sanders,PHI,238.8,1060.2,6.3,50.3,443.4,2.5,1.8,199.7
Joe Mixon,CIN,265.2,1161.6,7.5,39.2,302.4,1.7,1.4,198.5
Josh Jacobs,LV,266.3,1194.3,8.9,30.3,232.8,0.9,1.7,197.7
Aaron Jones,GB,209.5,949.9,9.3,43.5,356.4,2.1,1.4,196.2
Kenyan Drake,ARI,206.2,954.6,7.5,54.1,411.5,2.2,1.5,191.4
Austin Ekeler,LAC,161.9,703.7,4.3,65.8,654.5,3.9,1.3,182.7
Chris Carson,SEA,243.3,1088.7,7.5,32.1,248.1,1.3,2.2,182.3
Todd Gurley,ATL,206.2,866.9,7.6,41.9,328.5,2.1,1.3,175.1
David Johnson,HOU,220.3,855.4,5.5,41.4,398.4,2.9,1.7,172.5
James Conner,PIT,215.5,908.3,6.4,40.5,325.2,1.9,1.9,169.2
Melvin Gordon,DEN,196.3,794.9,6.8,43.4,347.9,1.7,1.3,162.4
Le'Veon Bell,NYJ,206.8,811.8,4.6,56.2,426.3,1.6,1.5,157.9
Jonathan Taylor,IND,205.1,873.3,6.9,22.1,184.4,1.1,1.7,150.5
Ronald Jones II,TB,199.3,829.3,6.3,30.4,245.9,0.9,1.4,148
Mark Ingram II,BAL,168.1,799.3,6.2,24.2,204.8,1.8,1.4,145.8
Devin Singletary,BUF,172.3,844.0,3.9,36.5,291.1,1.5,1.6,142.7
Raheem Mostert,SF,166.9,819.8,7,18.4,153.4,1,1.7,141.8
David Montgomery,CHI,220.3,857.9,5.9,21.5,164.8,0.9,1.6,140
Cam Akers,LAR,183.6,709.1,6,28.4,229.1,1,1.6,132.2
D'Andre Swift,DET,172,672.6,4.2,33.8,290.8,1.4,1.5,126.5
Kareem Hunt,CLE,108.4,465.1,4,49.2,428.7,2.5,0.9,126.2
Kerryon Johnson,DET,155.8,671.3,5.1,26.9,221.3,1.1,1.4,123.2
Marlon Mack,IND,172.3,766.1,5.8,14.1,99.8,0.5,0.9,122.6
Phillip Lindsay,DEN,147.4,650.5,4.3,31.9,215.6,0.8,0.8,115.8
Jordan Howard,MIA,169.4,683.1,5.5,17.7,126.8,0.6,0.9,115.3
Ryquell Armstead,JAC,155.1,611.8,3.5,21.9,195,1.3,1.1,107.4
Tevin Coleman,SF,144.1,595.2,4.9,17.1,145.2,0.9,0.8,107.1
Matt Breida,MIA,136.2,576.5,2.7,33.3,249.2,1.5,1.3,105.4
J.K. Dobbins,BAL,149.5,634.9,4.2,17.4,140.2,0.8,1.4,104.3
Tarik Cohen,CHI,81.1,311.6,1.8,67.7,486.8,2.6,1.1,103.7
James White,NE,54.3,220.3,1.7,58.6,508.9,3.4,0.5,102.4
Zack Moss,BUF,145.7,623.1,4.1,17.9,144.9,0.6,1.5,102.4
Latavius Murray,NO,134.8,539.5,4.6,22.3,156.9,0.6,0.8,99.4
Adrian Peterson,WAS,147.6,634.0,4,15.3,124.4,0.3,1.2,99.1
Duke Johnson,HOU,81,356.3,1.8,40.5,359.5,2.2,0.7,94.4
Sony Michel,NE,136.3,611.6,4.2,11.1,81.1,0.3,1.1,93.7
Darrell Henderson,LAR,125.8,499.9,3.1,25.9,204.8,1,1,93
Antonio Gibson,WAS,88,366.2,2.1,38.6,316.7,1.5,1,88.1
Boston Scott,PHI,97.7,394.3,3.8,28,222.1,0.6,1,85.8
Chris Thompson,JAC,66.5,289.7,1.4,49.6,404.6,1.5,0.9,85.6
Alexander Mattison,MIN,125.3,532.4,3.2,13.2,102.7,0.4,1.1,82.8
Tony Pollard,DAL,89.4,394.6,2.5,24,181.4,1.3,1.1,78.7
Justin Jackson,LAC,107.6,465.0,3,17.1,122.3,0.4,0.6,78
Ke'Shawn Vaughn,TB,98,398.5,3,18.7,147.8,0.9,0.7,76.4
Jerick McKinnon,SF,92.8,377.0,2.7,21.7,177.9,0.7,0.9,74.5
Nyheim Hines,IND,55.6,216.4,1.7,42.1,323.3,1.5,0.5,72.4
Darrynton Evans,TEN,81.2,349.3,2.2,22.3,190.1,1,1,71
Chase Edmonds,ARI,89.8,360.6,2.8,18.1,134.9,0.8,0.5,70
Damien Harris,NE,122.3,408.4,3.2,8,68.3,0.2,0.9,66.3
Jamaal Williams,GB,69.7,273.9,1.5,27,204.4,1.3,0.4,64.1
A.J. Dillon,GB,100.4,383.1,3.1,8.6,62.7,0.2,0.9,62.8
Giovani Bernard,CIN,73.3,271.8,1.7,28.6,211.1,0.7,0.5,61.4
Ito Smith,ATL,69,272.3,2.6,22.9,163.3,0.5,0.5,61.2
Benny Snell Jr.,PIT,91.2,385.6,2.5,8.7,70.2,0.3,0.8,61.1
Jalen Richard,LV,61.9,248.6,1.3,28.8,249.9,0.8,1.4,59.7
Joshua Kelley,LAC,95.6,353.6,2.7,9,68.8,0.3,0.9,58.1
Darrel Williams,KC,69.6,255.1,3.1,13.7,114.3,0.7,1,58
LeSean McCoy,TB,67.2,292.3,2.5,17.1,124.3,0.4,0.6,57.6
Frank Gore,NYJ,97.8,337.1,1.8,11.3,88.1,0.3,0.4,54.2
Devine Ozigbo,JAC,86.6,303.1,1.7,12.9,99.6,0.4,0.5,52
Malcolm Brown,LAR,69.7,304.6,2.2,6.7,45.1,0.2,0,49.4
Rashaad Penny,SEA,58.1,274.9,1.8,11.1,89.8,0.5,0.6,49
Rex Burkhead,NE,41.8,187.9,1.6,18.8,165.5,0.7,0.4,48.4
Carlos Hyde,SEA,74.6,310.9,2,6.8,42.6,0.2,0.7,47.3
Bryce Love,WAS,66,260.6,1.7,10.7,86.2,0.4,0.5,46.4
Lamar Miller,NE,65.6,248.5,1.9,9.2,67.6,0.4,0.5,44.5
Lynn Bowden Jr.,LV,41.9,194.7,1.2,13.9,123.5,0.5,0.5,41
Anthony McFarland Jr.,PIT,44.8,189.1,1.2,15,117.2,0.7,0.5,40.7
Dion Lewis,NYG,49.8,183.3,0.8,20.4,134.2,0.7,0.5,40
Gus Edwards,BAL,54.4,272.3,1.5,3.5,27.5,0.1,0.5,38.7
DeAndre Washington,KC,43.6,166.1,1.4,12.6,96.2,0.6,0.1,37.5
Brian Hill,ATL,47.8,203.1,1.2,10.3,77.9,0.3,0.3,36.7
Lamical Perine,NYJ,40.7,174.5,1.1,11.9,88.1,0.4,0.3,34.6
Mike Davis,CAR,47,168.5,1.4,12.1,79.8,0.2,0.4,33.4
Royce Freeman,DEN,39,159.3,0.9,15.2,95.1,0.4,0.4,32.5
Kyle Juszczyk,SF,8.5,24.2,0.2,21.9,215.6,1.3,0.4,31.9
Jaylen Samuels,PIT,34.7,110.7,0.7,16.9,123,0.4,0.1,29.8
Sewo Olonilua,DAL,0,143.6,1.1,9,54.3,0.4,0.2,28.2
Justice Hill,BAL,30.7,138.9,1,8.4,66.8,0.2,0.4,27.2
Reggie Bonnafon,CAR,37.5,153.0,0.9,5.7,43.9,0.1,0.1,25.9
J.D. McKissic,WAS,27.2,106.7,0.3,15.2,108,0.5,0.4,25.8
DeeJay Dallas,SEA,30.1,116.8,0.7,9,81.1,0.3,0.4,25.6
Corey Clement,PHI,35.1,132.9,1,6.5,48.2,0.1,0.4,24.2
Dare Ogunbowale,TB,15.4,50.2,0.7,13.4,111.1,0.6,0.1,23.8
Mike Boone,MIN,29.9,137.8,1,3.4,30,0.1,0.1,22.9
Patrick Laird,MIA,19.1,96.6,0.5,10.1,83.9,0.3,0.1,22.2
Myles Gaskin,MIA,13.3,100.0,0.7,8.7,65.9,0.3,0.2,22
Kalen Ballage,MIA,0,116.7,0.7,6.1,50.5,0.1,0.2,21.3
Bo Scarbrough,DET,27.7,142.2,0.6,4,32.4,0.1,0.3,21.1
Ryan Nall,CHI,23.7,115.3,0.5,5.3,44.2,0.2,0.1,20.1
Karan Higdon,HOU,26.7,108.4,0.7,4,31,0.2,0.1,18.8
Andy Janovich,CLE,3.6,22.4,0.5,8.2,82.7,0.9,0,18.7
Darwin Thompson,KC,22.2,104.5,0.5,6.2,42.4,0.2,0.1,18.4
Ty Montgomery,NO,17.1,75.9,0.6,7.2,56.8,0.2,0,18.3
Eno Benjamin,ARI,19,95.0,0.7,5,34.1,0.2,0.1,18
Jeff Wilson,SF,24.8,98.9,1.1,2.2,15.4,0.1,0.2,17.8
